	nordavinden	og	sola	kjekla	om	kven	av1	dei1	som	var	den	sterkaste	da	kom	det	en	mann	gaaande	med	varm	frakk	pa	seg	dei2	vart	samde	at	han1	foerst	kunne	faa	mannen	tilaa	ta	av2	frakken	skullegjeldefor	saa	blaaste	avallsimakt	men	dess	meir	han2	tettare	trakk	rundt	tilsist	gav	opp	skein	fram	godt	varmt	straks	tok	maatte	innroemme
Rendalen	ˈˈnuːɽaˌʋɪɲˑ / ˈˈnuːɽɑˌʋɪɲː / ˈˈnuːɽɑˌʋɪɲˑ / ˈˈnuːɽɑˌʋɪɲˑ	ɔ / ɔ / ɔ / ɔ̰	ˈsuːɽa̰ / ˈsuːɽɑ / ˈsuːɽɑ	ˈˈkɾaŋɽə	um / ɔ̰m	ˈɔkːən	tɔ / ˈtʰoː / ˈtʰoː	døm / ðə̰m̰ / ðə̰m̰	sɔm / sɔɱ	ˈʋɑː / ˈʋɑː	ɖɛɲ / ðɛɲ / ɽɛɲ	ˈˈstæɾ̥kɛ̰stə / ˈˈstæ̰ɾ̥kəsθə / ˈˈstæ̰ɾ̥kə̰stə̰	ˈd̥ɑː / ˈd̥ɑː / ˈdɑː	ˈkʰɔ̰mː	dɛ	ɪɲ / ɪɲ	ˈmaɲː	ˈˈɡoːnə̰s	ˌm̰ɛ		ˈfɾɑkʰː	pɔ̰	ˈsæ̰ɪ̰ / sɛ / sɛ / sɛ	dø̰m	ʋɑ̰ʈ	ˈˈḛːnḭ	ɑt / ɑt / ɑθ	ˈd̥ɛɲː	ˈføʂːt̠ʰ	kʰʉnə	ˌfɔˑ	ˈmaɲˑ / ˈma̰ɲː / ˈma̰nɲː	telʲɔ	ˈˈtʰɑː	tɔ / tɔ	ˈfɾɑkʰːən / ˈfɾɑkːən / ˈfɾɑ̰kːən	skʉlʲəˈˈʋæːɾɑ̰	sɔ / sɔ	ˈbɽɑːs / ˈbɽɑːs	tɔˈʔaʎsɪˈmɑkʰtʰ	mɪɲ	jṵ / ju	ˈmḛːɾ	əm	ˈˈtʰetːɾə	ˈdruː	ˈɾʉ̠ɲc	teˈʂl̠ʉʰcː		ṵpʰ	ˈʂɛːn		ˈɡɔcː	ˈʋaɳʈʰ	məˌɪɲˑˈɡɔŋː		mɔtə	ˈʔiɲːˌɾømˑə̰
Sortland	ˈˈnuːɹɑˌʋiɲˑ / ˈˈnuːɾɑˌʋḭɲˑ / ˈˈnuːɹɑˌʋiɲˑ / ˈˈnuːɾɑˌʋiɲˑ	ɔ / ɔ / ɔ / ɔ	ˈsuːlɑ / ˈsuːlɑ / ˈsuːlɑ̰	ˈˈkɹɑŋlɑ	um / um	ˈkʰæn	ɑ / ɑ̰ʋ	ði / ˈðḭː	sɔɱ / sɔ	ˌʋɑˑ / ˈʋɑ̰ː	ðeɲ / deɲˑ / ð̰ḛɲˑ	ˈˈstæɹkɑstə / ˈˈstæ̰ɾ̥kɑ̰stə̰ / ˈˈstæ̰ɾ̥kɑ̰stə̰	dɔ / ˈd̥ɑː	ˌkʰumˑ	dɛ	ɛn / n̩	ˈmɑɲː	ˌɡoːɑnəs	me	ˈʋɑɹm	ˈfɹɑkː	ɸɔ̰	s̬æ̰ / sæ / sæ̰ / sæ̰	di	ʋɑ	ˈˈeːni	ɑt / ɑt	ˌhɑnˑ	ˈføʃː	kʉ̃	fɔ	ˌˌmɑːɲ / ˌˌmɑ̃ːɲ / ˌˌmɑːɲ	tl̩ɔ	tɑ	ˈɑː / ˌɑˑ	ˈfɾɑkːə̰n / ˈfɹɑkːə̰n̰ / ˈfɹɑ̰kːə̰n	skʉβiˈˈɾæŋnɑsɔ̰m̰	sɔ / sɔ / sɔ	ˈˈbl̠ɔsθə / ˈˈblɔsːtə	ɑ̰ˈɑ̰ʎ̠ːsḭˈmɑkʰtʰ	mn̩	ˌdesˑ / desˑ	ˈmeːɾ	ɑn	ˈˈtʰætʰːɑɹ	ˈt̠ɹ̥ɑkː	ˈɹ̰ʉ̰ɲ̰ː	teˈʃl̠ʉcʰː	ɡ̥ɑ	ˈupʰː	ˈʃein	ˈfɹɑmː	ˈɡɔ̰tʰː	ʋɑɳʈ	ˈsθɹɑks	tuk	ˈˈmɔtːə	ˈiɲˑˌɾømˑ
Stange	ˈˈnuːɽɑˌʋɪnˑ / ˈˈnuːɽɑˌʋɪnˑ / ˈˈnuːɽɑˌʋinˑ / ˈˈnuːɽɑˌʋɪnˑ	ʔɔ / ɔ / ɔ / ɔ	ˈsuːɽɑ / ˈsuːɽɑ / ˈsuːɽɑ	ˈˈkɾɑŋɽə	um / umˑ	ˈɔkːən	ˌtʰɑˑ / ˌtɑˑ / ˈtʰɑː	dum / dum / dum	sm̩ / sɔɱ	ˈʋɑː / ˈʋɑː	ɖɳ̩ / dn̩ / ɖɳ̩	ˈˈstæɾkəstə / ˈˈstæɾkəsθə / ˈˈstæɾkəstə	ˈdɑː / ˈd̥ɑː	ˈkʰɔmː	də	n / eɪ	ˈmanː	ˈˈɡoːənəs	ˈmɛː	ˈʋɑɾm	ˈfɾɑkː	pɔ	ˌsɛɪ / sɛɪ / sɛɪ / sɛɪ	dum	ʋɑʈ	ˈˈeːni	ɑt / ɑt / ɑt	ˈhanː	ˈfyst	ˌkʰʉnˑə	ˈfoː	ˈmanːɑ / ˈmanː / ˈmanː	tl̩ɔ	ˈˈtʰɑː	tɑ / tɑ	ˈfɾɑkːən / ˈfɾɑkːɑ / ˈfɾɑkːɑ	skʉləˈˈɱɑːɾɑ	ˌsɔˑ / sɔ / ˈsoː	ˈbɽeːs / ˈbɽeːs	taˈalˠːsiˈmɑkʰtʰ	mɛn	dɪ / dɪ	ˈmeːɾ	ham	ˈˈtʰetˑəɾə	ˈˈtɾɑkː	ˈɾʉnt	teˈʂl̥̠ʉtː		ˈupʰː	ˈʂɛːnˠ	ˈfɾɑmː	ˈɡɔtː	ˈʋɑːʈ	ˈstɾɑks		ˌmɔtˑə	ˈɪnːˌɾømˑə
Sunndal	ˈˈnuːɾɑˌʋinː / ˈˈnuːɾɑʋinˑ / ˈˈnuːɾɑˌʋinˑ / ˈˈnuːɾɑˌʋinˑ	ɔ / ɔ / ɔ / ɔ / ɔ	ˈsuːɽɑ / ˈsuːɽɑ / ˈsuːɽɑ	ˈˈçækɽɑ	um / um	ˈkʰɑɲː	tɔ / ˈtʰoː	ˈdæm / ðæm	sɔ / sɔ	ˈʋɑː / ˈʋɑ	deɲˑ / deɲˑ	ˈˈstæɾ̥kɑst / ˈˈstæɾ̥kɑst	ˈdɑː / ˈdɑː	kʰum	de	æn / æn	ˈmɑɲː	ˈˈɡɑŋːɑɲ	me	ˈhæit	ˈfɾɑkː	pɔ	se / se / se / se	dæm	ʋɑʈ	ˈˈeni	ɑt / ɑt	ˈdeɲˑ	ˈføsːt	kʉɲː	fɔ	ˌˌmɑɲː / ˌˌmɑɲː / ˌˌmɑɲː	teɔ	ˈˈhɑː	tɔ / ˈtʰoː	ˈfɾɑçːən / ˈfɾɑçːən / ˈfɾɑçːən	skʉʎˈɡɑːfæɾɔˈˈʋɑɾːɑ	sɔ / sɔ / ˈsoː	ˈbɽeːs / ˈbɽeːs	tɔˈʔɑʎsiˈmɑkt	mæɲ	tʰe / tʰe	ˌˌmæiɾ	hɑɲ	ˈˈtʰetʰːɑɾ	ˈtɾækt	ˈɾunt	teˈʃlʉcː	ˈɡɑː	ˈupʰː	ˈʃʈæin	ˈfɾɑmː	ˈɡɔtʰː	ˈhecʰː	ˈstɾɑks	hɑ	mɔtː	ˈiɲˑˌɾømˑ
Time	ˈˈnuːɰɑˌʋinˑn̩ / ˈˈnuːɰɑˌʋinː / ˈˈnuːɰɑˌʋinˑ / ˈˈnuːɰɑˌʋinˑ	ɔ / ɔ / ɔ / ʔɔʔ / ɔ	ˈsuːlɔ / ˈsuːlɔ / ˈsuːlɔ	ˈˈçeɡlɑ	ʔɔm / ɔm	ˈkʰemˑ	ɑ / ˈɑ̰ːʋ	ˈdiː / dḭ	so / so	ˈʋɑː / ˈʋɑːɰ	dn̩ / dn̩	ˈˈstæɰ̥kɑstə / ˈˈstæɰkastə	ˈdoː / ˈd̥ɔːʔ	ˈkʰɔmː	dɛɰ	en / ən	ˈmɑnː	ˈˈɡɔːɑnɛ	ˌmeˑ	ˈʋɑɰmə	ˈfɰɑkːʰ	ˌpʰɔˑ	sḛ / seɡ / se / ˌseˑɡ	ˈdiː	blæi	ˈˈeːniɡ	ɑt / ʔɑt	ˈhan	ˈfʏst	ˌkʰunˑe	fɔ	ˈmɑːn / ˈmɑːn / ˈmɑː	teɔ	ˈˈtʰɑː	ɑ / ɑ	ˈfɰɑkːən / ˈfɰɑkːən / ˈfɰɑkːən	skʉˈˈjɛlːɑfɔɰʔ	ˈsɔ / so / ˈsoː	ˈˈblæːstə / ˈˈblæːstə	ɑʋˈɑlːsiˈmɑkt	mɛn	des / d̥esˑ	ˈmæɰː	ʔɑn	ˈˈtʰetːɑɰə	ˈtɰ̥akː	ˈɰunt	teˈsist	ɡ̥ɑ	ˈɔ̰pʰː	ˈʃæin	ˈfɰɑm	ˈɡɔtː	ˈʋɑɰmt	meˈʔɛɪnːˈɡɔŋː	ˈˈtʰuːɡ	ˈˈmɔtːə	ˈʔinːɰømˑɑ
Trondheim	ˈˈnuːɾɑˌʋinˑ / ˈˈnuːɾɑˌʋinˑn̩ / ˈˈnuːɾɑˌʋinˑn̩ / ˈˈnuːɾɑˌʋinː	ɔ / ɔʔ / ɔ / ɔ / ɔ	ˈsuːɽɑʔ / ˈsuːɽɑ / ˈsuːɽɑ	ˈˈçækɽɑ	um / ɔm	ˈʋæmː	ɑ / ˈɑː / ˈɑː	ˈdæmː / ðæm / dæm	sm̩ / sɔɱ	ˈʋɑː / ˈʋɑː	dn̩ / dn̩ / dn̩	ˈˈstæɾ̥kəstə / ˈˈstæɾ̥kəstn̩ / ˈˈstæɾ̥kɑstn̩	dɑ / ˌdɑˑ	ˌkʰɔmˑ	də	n / n	ˈmɑnː	ˈˈɡoːənə	mə	ˈʋɑɾm	ˈfɾɑkː	pɔ	ˌsæ̰ˑ / sæ / sæ / sæ	d̥æm	ʋɑʈ	ˈˈeːni	ɑt / ɑt	ˈhɑnː	ˈføʃː	kʉnʲː	fɔ	ˌˌmɑnː / ˌˌmɑnː / ˌˌmɑnː	tɔ	ˈˈtʰɑː	ɑ / ˈɑː	ˈfɾɑkːən / ˈfɾɑkːən / ˈfɾɑkːən	ˈʋɑː	sɔ / sɔ / ˈsoː	ˈbɽɔst / ˈbɽɔst	ɑʋˈʔɑʎːsiˈmɑkʰtʰ		ju / dəstu	ˈmeːɾ	hɑn	ˈˈtʰetʰːɑɾ	ˌtɾɑkˑ	ˈɾʉnt	təˈʃl̠ʉtː	ˈɡɑː	ˈupʰː	ˈʃein	ˈfɾɑmː	ˈɡɔtʰː	ˈʋɑɹmt	ˈstɾɑks	tuk	mɔt	ˈinːˌɾømˑ
Tynset	ˈˈnuːɾɑˌʋinˑn̩ / ˈˈnuːɾɑˌʋinˑn̩ / ˈˈnuːɾɑˌʋinˑn̩ / ˈˈnuːɾɑˌʋinː	ɔ / ɔ̰ / ɔ / ɔ̰	ˈsuːɽɑ / ˈsuːɽɑ / ˈsuːɽɑ	ˈˈkɾɑŋɽɑ	ɔm / ʔɔm	ˈʋɛm	ɑ / ɑ / ɑ̰ʋ	dɛm / ˌðɛ̰m̰ / ðə̰m̰	sɔɱ / sɔɱ	ˈʋɑː / ˈʋɑː	ɳə / ɖɳ̩ / ɽən	ˈˈsθæɾkɛ̰stə̰ / ˈˈstæɾ̥kəsθ / ˈˈsθæɾkəst	d̥ɑ / ˈdɑː	ˈkʰɔmː	de	ən / n̩	ˈmɑnː	ˈˈɡɔːn̩ə̰	ˌm̰ɛ̰ˑ	ˈʋɑɹm	ˈfɹɑkʰː	pɔ	ˈsæ̰ɪ̰ / sæ / sæɪ / sæ	di	bɽɛ	ˈˈʔeːni	ɑt / ɑt / ɑ̰θ	ˈd̥ɛnː	ˈføʃːt̠ʰ	kʰʉnə	ˌfɔˑ	ˈmɑnːn̩ / ˈmɑnːn̩ / ˈmɑnːn̩	tl̩ɔ	ˈˈtʰɑː	ɑ / ˈʔɑː	ˈfɾɑkʰːən / ˈfɾɑkːən / ˈfɾɑkːən	skʉləˈˈjelːəfɔ	sɔ / sə / ˈsoː	ˈˈbɽoːstə / ˈˈbɽoːstə	ɑʋˈɑlˠːsɪnˈmɑxtʰ	men	ju / ju	ˈmeːɾ	hɑm	ˈˈtʰetːɾə	ˈtɾɑkː	ˈɾʉnt	tɪˈʃl̠ʉtʰː		ˈʔɔpʰː	ˈˈʃintə	ˈfɾɑmː	ˈɡɔtʰː	ˈʋɑɾmtʰ	ˈstɾɑks		mɔtːə	ˈinːɾømˑə̰
Vaksdal	ˈˈnuːɰɑˌʋinˑn̩ / ˈˈnuːɰɑˌʋinˑn̩ / ˈˈnuːɰɑˌinˑn̩ / ˈˈnuːɰɑˌʋinˑn̩	ɔ / ɔ / ɔ / ɔ / ʔɔ	ˈsuːla / ˈsuːla / ˈˈsuːla	ˈˈc͡͡çækla	um / ˌʔumˑ	ˈkʰæm	a / ˈɑːʋ / ˈɑːʋ	ˌɾæi / dæi / dæi	soɱ / suɱ	ˌʋɑˑ / ˈʋɑː	dən / dæn / dæn	ˈˈstæɰ̥kastə / ˈˈstæɰ̥kɑstə / ˈˈstæɰ̥kɑstə	ˈdoː / ˈdoː	ˌkʰomˑ	de	æin / æin	ˈmɑnː	ˈˈɡoːɑnə	me	ˈʋaɰm	ˈfɰɑkː	pɔ	ˈseːɡ / seɡ / seɡ / seɡ	deɪ	ʋaɰ̥t	ˈˈeiniɰə	at / ʔat	ˈdænː	ˈføɰ̥st	kʉne	fɔ	ˌˌmɑːn / ˌˌmaːn / ˌˌmaːn	teɔ	tɑ	ˈʔɑːʋ / ˈɑːʋ	ˈfɰɑkʰːən / ˈfɰakʰːən / ˈfɰakʰːən	ʋaɰ̥tˈˈɰeknasɔm	ˈsuː / su / ˈsuː	bloːstə / ˈˈbloːstə	ʔaʋˈʔalːsiˈmakʰtʰ	mæn	dæs / dæs	ˈmæiɰ	ham	ˈˈtʰætːæɰə	ˈtɰ̥akː	ˈɰunt	tesist	ɡ̥a	ˈupʰː	ˈʃæin	ˈfɰam	ˈɡɔtː	ˈʋaɰmtʰ	ˈstɰaks	tuk	mɔtːe	ˈʔinːˌɰømˑa
Verdal	ˈˈnuːɽɑˌʋiɲˑ / ˈˈnuːɽɑˌʋiɲˑ / ˈˈnuːɽɑˌʋiɲˑ / ˈˈnuːɽɑˌʋiɲˑ	ɔ / ɔ / ɔ / ɔ / ɔ	ˈsuːɽɑ / ˈsuːɽɑ / ˈsuːɽɑ	ˈˈkɾɑŋɽɑ	um / um	ˈkʰæmː	tɔ / ˌtʰɔˑ	ˌæmˑ / dæm	sɔɱ / sɔɱ	ˈʋɑː / ˌʋɑː	ðeɲˑ / dn̩	ˈˈstæʃkəstə / ˈˈstæʃkəstn̩	dɑ / ˈd̥ɑː	ˈkʰumː	de	ən / æn	ˈmɑɲː	ˈˈɡoːɑn	mə		ˈfɾɑkː	pɔ	ˈsæ̰ː / sæ / sæ / sæ	dæɱ	ʋɑʈ	ˈˈeːni	ɑt / ɑt	ˈdeɲː	ˈføʃt̠	kʉɲ	ˈfoː	ˌˌmɑɲː / ˌˌmɑɲː / ˌˌmɑɲː	tɔ	ˈˈtʰɑː	tɔ / ˈtoː	ˈfɾɑkːən / ˈfɾɑkːəŋ / ˈfɾɑkːən	skʉˈjeʎːfɔ	ˈsoː / sɔ / ˈsoː	ˈbɽɔst / ˈbɽɔst	tɔˈʔɑʎːsiˈmɑkt	mn̩	des / ðes	ˈmeːɾ	hɑɲ	ˈˈçetːɑ	ʈɹɑk	ˈkɾiŋ	təˈʃl̠ʉtː	ɡɑʋ	ˈupʰː	ˈʃæin	ˈfɾɑmː	ˈɡɔtː	ˈʋɑɹmt	ˈsθɾɑks	ˌθuˑk	mɔt	ˈinːˌɾømː
Voss	ˈˈnuːɰɑʋindn̩ / ˈˈnuːɰɑˌʋinˑn̩ / ˈˈnuːɰɑˌʋindn̩ / ˈˈnuːɰɑˌʋindn̩	ɔ / ɔ / ɔ / ɔ / ɔ	ˈsuːlɛ / ˈsuːl̠ɑ / ˈsuːlɑ̰	ˈˈçeklɑ	um / um	ˈkʰɛmː	ɑʋ / ɑʋ / ˈɑ̰ːʋ	ˈd̠æi / ˈd̠æi / d̠æ̰ḭ	su / su	ˌʋɑˑ / ˈʋɑ̰ː	dn̩ / nɑ / d̠æn̠	ˈˈstæɰ̥kɑstæ̰ / ˈˈstæɰ̥kɑstə / ˈˈstæɰ̥kɑstə	d̥̠ɔ / dɔ	ˌkʰɔmˑ	d̠ə	æin / æin	ˈmɑn̠ː	ˈˈɡoːɑn̠ɛ	me	ˈʋaɰm	ˈfɰɑkʰː	ˌpɔˑ	sæi / se / sɛi / sə	di	ʋɑɰt	ˈˈʔeːniɡ	ɑt / ɑt	ˈdænː	ˈfʉst	kʉnə	fɔ	ˈmɑnː / ˈmɑnːn̩ / ˈmɑnːn̩	teɔ	tɑ	ˈʔɑːʋ / ˈɑːʋ	ˈfɰɑkːən / ˈfɰɑkːə / ˈfɰɑkːən	ˈhɑnːʋɑɰ̥tˈˈɰɛ̤kʰnɑsɔm	su / su / ˈsuː	ˈblɑːs / ˈblɑːs	ˈnɑːn̩ˈˈkʰʉnːə	men	ju / ju	ˈmæiɰ	hɑm	ˈˈtʰɛtːaɰə	ˈtɰ̥akʰː	ˈɰunt	teˈslʉtʰː	ɡɑʋ	ˈupʰː	ˈʃæin	ˈfɰɑmː	ˈɡɔtʰː	ˈʋaɰmt	meˈæinˈɡɔŋː	tuk	mɔtə	ˈinːˌɰømˑɑ
