	kippen	mijn	vriend	bloemen	spinnen	machines	werk	op	schip	kregen	beschimmeld	brood	timmerman	splinter	vinger	fabriek	vier	bier	twee	drie	hij	knuppel	ik	knie	gezien	ragebol	pet	paddestoel	kerel	brede	stenen	breder	breedste	standbeeld	duivel	gebleven	meester	zee	graag	keelpijn	steel	bezem	neen	geroepen	peer	rijp	geld	ver	brengen	vrouw	zwemmen	sterk	bed	optillen	metselaar	springen	boterham	vader	zes	jaar	school	laten	gaan	water	potten	zijn	veel	maart	nog	koud	kaars	geeft	licht	paard	tegen	zwaluwen	kaas	motor	dag	avond	jongetje	barst	brief	hart	spannen	nieuwe	kar	zoon	koning	ook	geweest	rozen	lange	woord	kindje	was	dochtertje	bos	ladder	mond	droog	dorst	weg	krom	liedje	goed	kelder	voor	moest	ossenbloed	drinken	broer	moe	karnemelk	dun	zuur	put	uur	Italie	bergen	vuur	spuwen	duwen	hebben	stuk	brug	veulen	komen	deur	naaien	gras	brouwer	bakken	je	eieren	krijgen	markt	waren	vijf	eikels	hooi	is	groen	boompje	wijn	huis	melk	spuit	koe	koster	kruiwagen	buigen	Duitsers	blauw	geslagen	saus	flauw	sneeuw	stad	doen	dopen	doopvont	soldaten	dorsen	binden	gebonden
Tjamsweer	O:\u_Xnr_=	mi_~n_X	vrYnt_v_X / kam@rU:\t_v_X	blO:\m_=	spIn_=	m@sins	v\a:r_Xk	Ub	sxIp	kre:\g_XN_=	v@r_XsxIm@lt_v_X / v@sxIm@lt_v_X	bro:\t	tIm@r_XmAn	splInt@r	vIN@r	fU:\brik / f@brik	fa:i_X@r_X	ba:i_X@r	tv\E:\i_X	drE:\i_X	Ai_X	knYp_v@l / I_~:n_XO:lt	k	knE:i_X	zA:\i_Xn	kOpstYb@r	pEt	pUtstO:u_Xl	ke:r_Xl_=	brAi_Xd@	stAi_Xn_=	brAi_Xd@r	brAi_Xt_Xstn_=	stAnt_vbe:\lt	dy:\v@l	ble:\b_Xm_=	me:\st@r	ze:\	Ge:r_Xn_=	ti_~n_Xke:\l	stU:\l	bE:zm_=	ne:\	rO:\u_Xpm_=	pe:r	rip	GE:lt_v	v\it		vra:u_X	sv\Em_=	sta:r_Xk_v	bE:r / le:\dikAnt	UptIln_=	mEtslU:r		brY:\x	vU:r	zE:s	jU:r_X	sxO:\u_Xl	lO:\t_Xn_=	GU_~:\n_X	v\Ut@r	pOtn_=	bE_rn_=	f2:\l	me:rt_v	nOx	kO:\lt_v	ke:r_Xs	xEft	lIxt	pe:r_Xt_v	te:\g_XN_=	sv\a:lfk@s	ke:\s	mo:\tOr	dAG	U:\b_Xm_=t	jUNkj@	sx2:r	brAi_Xf_v	a:r_Xt_v_X	spAn_=	nE:i_Xj@	kU:r	z2:\n	k2:\n@k	o:\k	v\E:st	ro:\zn_=	la:N@		kInt_v	v\As_v	v\Ixj@	bUs	lEd@r	mUnd	dr2:\x	d9:r_Xst	v\E:\x	krUm	lAi_Xd_Xj@	xO:\u_Xt	kElr_=	f2:r_X	mUs_v	Oz@blO:\u_Xt_v_X	drINk_XN_=	br9:i_Xj@r	m9:\i_Xt	supm_=	dYn	zy:r	pYt_v_X	y:r	i"tU:\li	ba:r_Xg_XN_=	vy:r	spE:i_Xn_=	drYk_XN_=	Em_=	stYk	brYG	fo:\l	kOm_=	d2:r	na:i_Xn_=	GrAs	bra:u_Xv\@r	bAk_XN_=	i	a:i_Xj@r_X	kri:g_XN_=	ma:r_Xt	v\Azn_=	vi:f	Ek@ls	o:i_X	Is_v	Gr9:\i_Xn	bo:\mk@	v\in	u:\s	mE:lk	sp9:\i_Xt	kO:\u_X	k9st@r	"kro:\kU:r	bu:gN_=	dyts@r_Xs	bla:u_X	a:u_Xn_=	stIp_v	fla:u_X / lAf	snE:i_X	stAt	dO:\u_Xn	d2:\pm_=	d2:\pfUnt	sOldU:\t_Xn_=	d9:r_Xsn_=	bIn_=	bUn_=
Wagenborgen		miN	kAm@rU:\t / v_0rYnt				v\a:r_Xk	Ub	sxIp	kre:\g_XN_=		bro:\t			vIN@r		v_0a:i_X@r	bi:r	tv\Ei_X	drEi_X	Ai_X	I_~:nplE_rnt@r	Ik	knE:i_X	z_0A:\i_Xn				ke:r_Xl_=		stAi_Xn_=	brAi_Xd@r			dy:\v@l	ble:\b_Xm_=	me:\st@r_X	ze:\	Ge:r_Xn_=		stU:\l	bEzm_=		rO:\u_Xpm_=	pe:r	rip	GE:ld	v\it	sxUpm_=		sv\Em_=		bE:r					fU:\d@r	z_0E:s	jU:r_X	sxO:\u_Xl	lU:\t_Xn_=	GU:\n		pOtn_=	bE_rn_=	f2:\l	me:r_Xt	nOx	kO:ld	ke:r_Xs	GEft	lIxt	pe:rt_v	te:\g_XN_=		ke:\s		dAx	U:b_Xm_=t		sx2:r	brAi_Xf_v	A:r_Xt_v_X	spAn_=	nE:i_Xj@	ka:r	z2:\n	k2:\n_=k	o:\k	v\E:st		la:N@	v\o:r_Xt	kInt	v\As_v	v\Ixj@	bUs	lEd@r	mUnd	dr2:\x	d9:r_Xst	v\E:\x	krUm	fE:r_Xsk@	xO:\u_Xt	kEld@r	f2:r_X	mUs_v		drINkN_=	br9:i_Xj@r	m9:\i_Xd@		dYn	z_0u:r	pYt_v	y:r			vy:r_X		st2:\t_Xn_=	Ebm_=	stUk	brYG / brUG	fo:\l	kOm_=	d2:r		GrAs		bAkN_=	du	a:i_Xj@r	kri:\g_XN_=		v\Azn_=	vif		2:\i_X	Is_v	Gr9:\i_Xn	bo:\mk@	v\in	u:s_v	mE:lk	spO:i_Xt	kO:\u_X	k9st@r_X		bu:g_XN_=		bla:u_X	ha:u_Xn_=	stIp	fla:u_X	snE:i_X		dO:\u_Xn	d2:\pm_=			d9:r_Xsn_=	bIn_=	
Zuidhorn	hO:\u_Xnr_= / pig_XN_=	mi_~N_X	kAm@rU:\t_v_X / vrYnt_v	blOm_=	spIn_=	m@sin@s	v\a:r_Xk	Ub	sxIp	kre:\g_XN_=	v@r_XsxIm@lt_X	bro:\t	tIm@r_XmAn	splInt@r	vIN@r	f@brik	fa:i_X@r	bi:r	tv\Ai_X	drAi_X	hAi_X	knYb@l	k	knE:\i_X	sA:\i_Xn	kOpstYb@r	pE_ot	pAd@stO:\u_Xl	ke:r_Xl_=	brAi_Xd@	stAi_Xn_=	brAi_Xd@r	brAi_Xt_Xst_Xn_=	stAnd_Xbe:\lt	dy:v@l	ble:\b_Xm_=	me:\st@r	ze:\	GrU:\x / Ge:r_Xn_=	ti_~n_Xd@ke:\l	stOk	bE:\zm_=	ne	rO:\u_Xpm_=	pe:r	rip	GE:lt_v_X	fE:r	brEN_=	vra:u_X	sv\Em_= / bo:i_Xn_=	sta:r_Xk	bE:r	UptIln_=	mEts@lU:r		brY:x	vU:\d@r	zE:\s	jU:r_X	sxO:\u_Xl	lU:\t_Xn_=	GU:\n	v\U:\t_v@r	pOt_Xn_=	bEn_=	f2:\l	me:r_Xt_v	nOx	kO:\lt_v	ke:r_Xs	GEft	lIxt	pe:r_Xt_v	te:\gN_=	swa:lfk@s	ke:\s	mo:\tOr	dAG	U:\b_Xm_=t	jUN@_X	sx2:r	brAi_Xf_v	h_XA:r_Xt_v	spAn_=	nE:i_Xj@	ka:r	z2:\n	k2:\nIN	o:\k	v\E:st	ro:\zn_=	lAN@	v\o:r_Xt	pUj_Xd_Xj@	v\As_v	v\Ixt	bUs	lEd@r	mUnd	dr2:\x	d9:\r_Xst	v\E:x	krUm	lAi_Xd_Xj@	xO:\u_Xt	kElr_=	f2:r_X	mUs_v	Oz@blO:\u_Xt_v_X	drINkn_=	br9:i_Xj@r	m9:\i_Xd@	supm_=	dYn	zy:r	pYt	y:r	i"tU:\li	ba:r_XgN_=	v_0y:r	spE:i_Xn_=	st2:\t_Xn_=	hEm_=	stYk	brY:\G	fo:\lc@	ko:\m_=	d2:r	na:i_Xn_=	GrAs	bra:u_X@r	bAk_XN_=	jEm	a:i_Xj@r	kri:g_XN_=	ma:r_Xt	v\A:r_Xn_=	vi:f	Ek@ls	ho:i_X	Is_v	Gr9:\i_Xn	bo:\mk@	v\i:\n	hys	mE:lk		kO:\u_X	kOst@r	kro:\tkU:r	bu:g_XN_=	dyts@r_Xs	blA:\u_X	slU:\g_XN_=	stIp_v	fla:u_X / lA_+f	snE:i_X	stAt	dO:\u_Xn	d2:\pm_=	d2:\bEk_XN_=	sOldU:\tn_=	d9:r_XskN_=	bin_=	bUn_=
Niekerk		mi_~n_X	vrYnt_v / kAm@rU_o:\@_Xt_v				v\a:r_Xk	Ub	sxIp	kre:\g_XN_=		bro:\t			v_0IN@r		fi:r	bi:r	tv\e:\	dri	hE:\i_X	knYb@l	k	knE:i_X	si:\n				ke:r_Xl_=		ste:\n_=	bre:\d@r			dy:v@l	ble:\b_Xm_=	me:\st@r	ze:\	xrU:\x / xe:r_Xn		stU:\l	bE:\zm_=		rupm_=	pe:r	rip	GE:ld	fE:r / v\it	brEN_=		sv\Em_=		bE:r			sprI:\N_=		v_0U:\d@r	z_0E:\s	jU:r	sxu:\l	lU_o:\t_Xn_=	xU_~:\n_X		pOtn_=	bE_rn_=	f2:\l	me:t / me:r_Xt	nOx	kO:lt_v	ke:r_Xs	GEft_X	lIxt	pe:r_Xt	te:\g_XN_=		ke:\s		dAG	U:\m_=t / U:\b_Xm_=t		ba:r_Xst	brif_v / bre:\f / bre:\i_Xf	h_Xa:r_Xt / a:r_Xt	spAn_=	nE:i_Xj@	v\U:\g_XN_=	z2:\n	k2:\n@Nk	o:\k	v\E:st		lAN@	v\o:r_Xt	ki:\nt_v	v\As_v	v\Ixj@	bUs	lEdr_=	mUnd	dr2:\x	d9:r_Xst	v\E:x	krUm	fE:r_Xsk@	xut	kEl@r	f2:r_X	mUs_v		drINkN_=	bru:r	m2:\j_Xd@		dYn	z_0y:r	pYt_v	y:r			v_0y:r		da:u_Xn_=	hEm_=	stYk	brY:\G	fo:\l	kUm_=	d2:r_X		GrA_+s		bAk_XN_=	du	a_+:i_Xj@r	kri:g_XN_=		v\Azn_=	v_0i:f		ho:\i_X	Is_v	xr9:\i_Xn	bUmk@	v\i:\n	hy:\s	mE:lk	sp9:\y_Xt_X		k9st@r		by:g_XN_=		bla:u_X	slU:\g_XN_=	stIp	fla:u_X	snE:i_X		dun	d2:\pm_=			d9:r_XsN_= / d9:r_Xsk_XN_=	bin_=	
Groningen	tytn_=	mi_~n_X	vrYnt	blO:\u_Xm_=	spIn_=	m@sin@s	v\a:r_Xk	Up	sxIp	kre:\g_XN_=	v@sxIm@lt_v_X	bro:\t	tIm@rmAn	splInt@r	vIN@r	f@brik	fE:\r_X	bi:r	tv\A:\i_X	drAi_X	hAi_X / Ai_X	knYp@l	Ik	knE:i_Xj@	zA:\i_Xn	kOpstYb@r	pEd@	pAd@stO:\u_Xl@	ke:r_Xl_=	brA:\i_Xd@	stA:\i_Xn_=	brAi_Xd@r_Xn_= / dIk@r_Xn_=	brAi_Xt_Xsn_= / dIkst_Xn_=	stAnt_v_Xbe:\lt	dy:\v@l	ble:\b_Xm_=	me:\st@r	ze:\	GrO_r:x	pinInd@ke:\l	stOk	bE:\z@m	ne:\	rO:\u_Xpm_=	pe:r@	rip	GE:\lt	fE:r	brE_rN_=	vra_O:u_X	sv\Em_=	sta:r_Xk_v	bE:r	UptIln_=	mEts@lO_r:r	sprIN_=	"bo:\trAm	vO_r:\d@r	zEs_v	jO_r:r	sxO:\u_Xl@	lO:\t_vn_=	GO_r:\n	v\O_r:\t@r	pOt_vn_=	bIn	f2:\l	me:r_Xt	nOx	kO:\lt	ke:r_Xz@	GEft_X	lIxt	pe:r_Xt_v		sv\a:lm_=	ke:\z@	mo:\tOr	dAx	O_r:b_Xm_=t	jUNki	sx2:r@ / ba:r_Xst	brAi_Xf_v	ha:r_Xt / a:rt	spAn_=	nE:i_Xj@	v\O_r:\g_XN_= / ka:r@	z2:\n	k2:\niN	o:\k	v\E:\st	ro:\zn_=	lAN@		kInt_v	v\As_v	v\Ixi	bUs	lEd@r	mUnd	dr2:\x	d9:st / d9:r_Xst	v\Ex	krUm	"lAi_Xdin	xO:\u_Xt	kEld@r	f2:r_X	mUst		drINk_XN_=	br9:\i_Xj@r	m9:\y_Xd@	supm_=	dYn	zu:r	pYd@	y:r	i"tO_r:\li	ba:rg_XN_=	v_0y:r_X	spE:i_Xn_=	drYk_XN_=	hEbm_=	stYk	brYG@	f2:\ln_=	ko:\m	d2:r@	na:i_Xn_=	GrAs	bra_O:u_X@r	bAk_XN_=	dO:\u_X	a:i_Xj@r	krig_XN_=	ma:k	v\a:r_Xn_=	vif	Ek@ls	h2:\i_X	Is_v	Gr9:\y_Xn	bo:\mpi	v\in	hus	mE:\lk	spO:i_Xt / sp9:\i_Xt / sp9:\t	kO:\u_X	k9st@r	kO_r:r@	bu:g_XN_=	dyts@rs	bla_O:u_X	slO_r:g_XN_=	stIb		snE:\j@	stAt	dO:\u_Xn	d2:\pm_=		sOldO_r:\tn_=	d9:\sn_=	bIn_=	bUn_=
Garmerwolde	hO:\u_Xn@r	mi_~N_X	kAm@rU:\t_v	blOm_=	spIn_=	m@sin_=	v\a_X:rk	Up	sxIp	kre:\gN_=	v@r_XsxIm@lt_v / v@sxIm@lt_v	bro:\t	tIm@r_XmAn	splIntr_=	vIN@r	fAbrik	fa:i_X@r_X	bi:r	tv\E:\i_X	drE:\i_X	hAi_X	knYb@l	k	knE:i_X	zA:\i_Xn	kOpstYb@r	pEt	pAd@stO:\u_Xl	ke:r_Xl_=	brAi_Xd@	stAi_Xn_=	brAi_Xd@r	brAi_Xt_Xst_Xn_=	stAnt_v_Xbe:\lt	dy:\v@l	ble:\b_Xm_=	me:\st@r_X	ze:\	Ge:r_Xn_=	ti_Xn_Xke:\l	stU:\l	bE:zm_=	ne:\	rO:\u_Xpm_=	pe:r	rip	GE:lt_v	fE:r		vra:u_X	sv\Em_=	sta:r_Xk	le:\dikAnt	UptIln_=	mEts@lU:r		brY:x	vU:\d@r	zE:s	jU:r_X	sxO:\u_Xl	lO:\tn_=	GU_~:\n_X	v\Ut@r	pOt_Xn_=	bI_~n	f2:\l	me:r_Xt	nOx	kO:ld	ke:r_Xs		lIxt	pe:r_Xt	te:\g_XN_=	sv\a:lfk@s	ke:\s	mo:\tOr	dAG_0	U:\b_Xm_=t	jUNk_Xj@	sx2:r	brAi_Xf_v	h_Xa:rt / a:rt	spAn_=	nE:i_Xj@	v\U:\g_XN_= / kU:r	z2:\n	k2:\nIN	o:\k	v\E:st	ro:\zn_=	la_~:N@	wo:r_Xt	kInt_v_X	v\As_v	v\Ixj@	bUs	lEd@r	mUnd	dr2:x	d9:r_Xst	v\E:\x	krUm	lAi_Xj_Xd_Xj@	xO:\u_Xt	kElr_=	f2:r_X	mUs_v	Oz@blO:\u_Xt_v_X	drINkN_=	br9:i_Xj@r	m9:\i_Xd@	supm_=	dYn	zy:r	pYt_v	y:r	i"tU:\li	ba:r_XgN_=	vy:r	spE:i_Xn_=	st2:\t_Xn_=	hEm_=	stYk	brY:\G	fo:\l	kU_om_=	d2:r	na:i_Xn_=	GrAs_j	bra:u_Xv\@r	bAkN_=	du	a:i_Xj@r_X	kri:g_XN_=	ma:r_Xt	v\Azn_= / v\a:r_Xn_=	vi:\f	Ek@ls	ho:i_X	Is_v	Gr9:\i_Xn	bo:\mk@	v\in	hu:s_v	mE:lk	sp9:\i_Xt	kO:\u_X	k9st@r	kU:r	bu:g_XN_=	dyts@r_Xs	bla:u_X	slU:\g_XN_=	sjy / stIp	fla:u_X / lAf	snE:i_X	stAt	dO:\u_Xn	d2:\pm_=	"d2:\p_v_XbEkN_=	sOldU:\t_Xn_=	d9:r_Xsn_=	bIn_=	bUn_=
Schildwolde	h_XO:\u_Xnd_X@r	miN	kAm@rU:\t_v	blO:\u_Xm_=	spIn_=	m@si_Xn_=	v\a:r_Xk	Up	sxIp	kre:\g_XN_=	v@r_XsxIm@lt / v@sxIm@lt	bro:\t	tIm@r_XmAn / tIm@rmAn	splInt@r	vIN@r	f@brik	fa:i_Xr_=	bi:r	tv\Ei_X	drEi_X	hAi_X	knYb@l / bYN@l	k	knE:i_X	zA:\i_Xn	kOpstYb@r	pEt	pUtstO:\u_Xl	ke:r_Xl_=	brAi_Xd@	stAi_Xn_=	brAi_Xd@r	brAi_Xtsn_=	stAnt_v_Xbe:\lt / stAnt_v_XbAi_Xlt	dy:v@l	ble:\b_Xm_=	me:\st@r	ze:\	Ge:r_Xn_= / GrU:x	tINke:\l	stU:\l	bEz@m / bEzm_=	ne:\	rO:\u_Xpm_=	pe:r	rip	GE:lt	v\it_v	brEN_=	vra:u_X	sv\Em_=	sta:r_Xk	bE:r	UptIln_=	mEtslU:r_X		stut_vj@ / brUx	vU:r	zE:\s	jU:r	sxO:\u_Xl	lU:\tn_=	GU:\n	v\Ut@r	pOtn_=	bIn_=	f2:\l	me:r_Xt	nOx	kO:\ld	ke:r_Xs	xEft	lIxt	pe:r_Xt_v	te:\g_XN_=	sv\a:lfk@s	ke:\s	mo:\tO:\r	dAx	U:b_Xm_=t	jUNkj@	bArst	brAi_Xf_v	a:r_Xt	spAn_=	nE:i_Xj@	v\U:g_XN_= / kU:r	z2:\n	k2:\n@k	o:\k	v\E:st	ro:zn_=	la:N@	v\o:r_Xt	kInt_v / pUj_Xt_v_Xj@	v\As_v	v\Ixj@	bUs	lEd@r	mUnd	dr2:\x	d9:r_Xst / d9:st	v\E:\x	krUm	lAi_Xt_v_Xj@ / vE:r_Xsk@	xO:\u_Xt	kEld@r	f2:r_X	mUs_v	Oz@blO:\u_Xd	drINkN_=	br9:i_Xj@r	m9:i_Xd@	zupm_=	dYn	zu:r	pYt_v	y:r	i"tU:\lij@	ba:r_XgN_=	vy:r_X	spE:i_Xn_=	st2:\tn_=	em_=	stYk / stUk	brYG / brUG	fo:\l	ko:\m_=	d2:r	na:i_Xn_=	GrAs_=	bra:u_Xv\@r	bAkN_=	du / i	a:i_Xj@r	kri:\g_XN_=	ma:r_Xt	v\Azn_=	vi:\f	Ek@ls	h2:\i_X	Is_v	Gr9:\i_Xn	bo:\mk@	v\in	hu:\s_v	mE:lk	spO:i_Xt_v	kO:\u_X	k9st@r_X	kU:r_X	bu:g_XN_=	dyts@r_Xs	bla:u_X	slU:g_XN_=	sjy	fla:u_X / lAf	snE:i_X	stAt	dO:\u_Xn	d2:\pm_=	d2:\pfUnt	sOldu:\tn_=	d9r_Xsn_=	bIn_=	bUn_=
Scheemda		mi_~n_X	kAm@rU:\t_v				v\a_+:r_Xk	Up / Up_v	sxIp	kre:\g_XN_=		bro:\t			vIN@r		va:\i_X@_Xr	bi:r / ba:\i_X@_Xr	tv\E:\i_X	drE:\i_X	Ai_X	knYp@l / bYN@l	Ik	knE:j@	"zAi_Xn				ke:r_Xl_=		stAi_Xn_=	brAi_Xd@r_Xn_=			dy:v@l	ble:\b_Xm_=	me:\st@r	ze:\	Ge:r_Xn_=		stU:\l	bEzm_=		rO:\u_Xpm_=	pe:r@	rip	GE:lt_v_X	v\it_v	brEN_=		zv\Em_=		bE:r@ / le:\dikant_v					vU:\d@r	zEs_v	jU:r	sxO:\u_Xl@	lU:\tn_=	GU_~:\n_X		pOtn_=	bIn_=	f2:\l	me:r_Xt	nOx	kO:lt_v_X	ke:r_Xz@	GEft	lIxt	pe:r_Xt_v	te:\g_XN_=		ke:z@		dAx	U:b_Xm_=t		sx2:r@ / bUrst@	brAi_Xf_v	a:r_Xt@	spAn_= / spA_~n_X	n_=E:i_X@	kU:r@	z2:\n	k2:\n_=N_Xk	o:\k	v\E:st		la_~:N@	vo:r_Xt	kInt_v	v\As_v	v\Ixj@	bUs	lEd@r	mUnd	dr2:\G@	d9:r_Xst	v\E:G	krUm	lAi_Xc@	xO:\u_Xt	kEld@r	f2:r_X	mUs		drINk_XN_=	br9:j@r	m9:i_X / m9:\yd@		dYn	zu:r	pYt@	y:r			vy:r		drUk_XN_=	Ebm_=	stUk	brUG@	fo:\lc@s_v / fo:\lc@s	ko:\m_=	d2:r@		GrAs		bAk_XN_=	du	a:i_X@r	kri:g_XN_=		v\azn_=	vif		2:\I	Is_v	xr9:\y_Xn	bo:\mk@	v\in	us_v	mE:lk	spO:i_Xt_v	kO:\u_X	k9st@r		bu:g_XN_=		bla:u_X	slU:g_XN_= / a:u_Xn_=	Sy	fla:\u_X / lAf	snE:i_X		dO:\u_Xn	d2:\pm_=			d9:\r_Xsn_=		
Finsterwolde	O:\u_Xnd@r	miN	kAm@"rU:\t_v	blO:\u_Xm_=	spIn_=		v\a_+:k	Up_v	sxIp	kre:\g_XN_=	v@r_XsxIm@lt_v_X	bro:\t	"tIm@r_XmAn	splInt@r	vIN@r	f@brik	fA:\i_X@_Xr	bA:\i_X@_Xr	tv\Ei_X	drE:\i_X	Ai_X	knYp@l / bYN@l	k	knE:j_X@	zAi_Xn	"kOpstYb@r	pEt@	pUtstO:\u_Xl@	ke:rl_=	brAi_Xd@	stAi_Xn_=	brAi_Xd@r_Xn_=	brAi_Xtst_Xn_=	"stAnt_vbe:\lt_v_X	dyv@l	ble:\b_Xm_=	me:\st@r	ze:\	Ge:r_Xn_=	tInda_+:ls	stU:\l	bEzm_=	ne:\	rO:\u_Xpm_=	pe:r@	rip	GE:ld	v\it_v_X	brEN_=	vra:u_X	zwEm_=	stA_+:r_Xk	le:\di"kAnt_v_X	"UptIln_=	mEts@lU:r	sprIN_=	"bo:\t@rAm	vU:\d@r	zEs_v	jU:r_X	sxO:\u_Xl@	lU:\t_Xn_=	GU_~:\n_X	v\Ut@r	pOtn_=	bIn_=	f2:\l	me:r_Xt	nOx	kO:lt_v	ke:r_Xz@	GEft_X	lIxt	pe:r_Xt_v	te:\g_XN_=	sv\a:lfk@s	ke:\z@	mo:\t@r	dAG	U:b_Xm_=t	jUNk_Xj@	sx2:r@ / bUrst@	brAi_Xf_v	a_+:r_Xt@	spA_~n_X	nE:j@	ka_+r@ / kU:r@	z2:\n	k2:\n_=N_Xk	o:\k	v\E:st	ro:\zn_=	la_~_+:N@	v\o:\r_Xt	kInt_v	v\As_v	v\Ixj@	bUs	lEd@r	mUnd	dr2:\G@	d9:r_Xst	v\E:\x	krUm	lAi_Xc@	xO:\u_Xt	kEld_X@r	f2:r_X	mUs_v	"Oz@blO:\u_Xd	drINk_XN_=	br9:i_X@r	m9:i_X	zupm_=	dYn	zu:@_Xr	pYt@	y:r	i"tU:\li	ba_+:r_XgN_=	vy:r	spE:i_Xd_Xn_=	drUk_XN_=	Ebm_=	stUk	brU:x	fo:\lc@	ko:\m_=	d2:r@	na:i_Xn_=	"GrAs	bra:u_X@r	bA_+k_XN_=	du	a:i_X@r	kri:g_XN_=	ma:r_Xt	v\A_+zn_=	vif	Ek@ls	2j_X	Is_v	xr9:\y_Xn	bo:\mk@	v\in	us_v	mE:lk	spa:i_Xt	kO:\u_X	k9st@r	kU:r@	bu:g_XN_=	dyts@r_Xs	bla:u_X	a:u_Xn_=	Sy / stIp_v	fla:u_Xsk / lAf	snE:i_X	stA_+t	dO:\u_Xn	d2:\pm_=		sOl"dU:\tn_=	d9r_Xsn_=	bIn_=	bUn_=
Peize		mi_~N_X	kAm@rU_o:\t				v\a:\r_Xk	Ub	sxIp	kre:\g_Xn_=		bro:\t			vIN@r		vE_-j@r / fE_-j@r_X	bi:r	tv\E_-i_X	drEi_X	hE_-j_X	bUN@l	k	knE_-j_X	z_0E_-j_Xn				ke:r_Xl_=		stE_-j_Xn_=	brE_-j_Xd@r			dy:\v@l	ble:\b_Xm_=	me:\st@r	zE_-i_X / ze:\	Ge:r_Xn_=		stOk	bEzm_=		rO_ru_Xpm_=	pe:r	rip	GE:lt	v\it_v_X	brEN_=		sv\Em_=		bE:\r					v_0U_o:\d@r	z_0E:\s	jU_o:@_Xr	sxO_ru_Xl	lO:\t_Xn_=	GU_o:\n		pOt_Xn_=	bIn	f2:\l	me:r_Xt	nOx	kO:\lt	ke:r_Xs	GEf	lIxt	pe:r_Xt	te:\g_XN_=		ke:\s		dAx	U_o:b_Xm_=t		sx2:r	brE_-i_Xf_v	a:r_Xt	spA_~n_X	na:i_Xj@	v\U_o:\g_XN_=	z2:\n	k2:\nIN	ok	v\E:\st		lAN@	v\o:r_Xt	kInt	v\As_v	v\Ixi	bUs	lEdr_=	mUnd	dr2:\x	d9:r_Xst	v\E:\x	krUm	lE_-j_Xti	xO_ru_Xt	kElr_=	f2:r_X	mYs		drINk_XN	br9:j@r	m9_r:\i_X		dYn	zu:r	pYt	y:r			vy:r		drYk_XN_=	hEbm_=	stYk	brY:\x	fo:\l	kU_om_=	d2:r		GrAs_j		bAkN_=	du	a:i_Xj@r	kri:g_XN_=		v\a:\r_Xn_=	v_0if		h2:\i_X	Is	Gr9_r:\i_Xn	bo:\mpi	v\in	hu:\s	mE:lk	sp9i_Xt	kO_ru_X	kOst@r		by:g_XN_=		blO_c:\u_X	slU_o:g_XN_=	stIp	flO_c:\u_X / lAf	sna:i_X		dO_ru_Xn	d2:\pm_=			d9sn_=	bIn_=	
Eelde		miN	kAm@rO_r:\t				v\a:r_Xk	Up	sxIp	kre:\g_Xn_=		bro:\t			vIN@r		fE_-j@r	bi:r	tv\Ei_X	drEi_X	hEi_X	bUN@l	k	knEi_X	z_0E_-i_Xn				ke:r_Xl_=		stE_-i_Xn_=	brE_-i_Xd@r			dy:v@l	ble:\b_Xm_=	me:\st@r_X	zE_-i_X	Ge:r_Xn / GrO_r:x		stOk	bEzm_=		rOu_Xpm_=	pe:r	rip		v\it			sv\Em_=		bE:r			sprIN_=		vO_r:\d@r	zE:\s	jU_o:r_X	sxOu_Xl	lO:\t_Xn_=	GO_r:\n		pOtn_=	bIn_=	f2:\l	me:r_Xt	nOx	kO:\lt	ke:r_Xs	GEft_X	lIxt	pe:r_Xt	te:\g_XN_=		ke:\s		dAx	O_r:b_Xm_=t		sx2:r	brE_-i_Xf_v	ha:r_Xt_v_X	spA_~n_X	nE:i_Xj@	v\O_r:g_XN_=	z2:\n	k2:\n@N	Uk	v\Est		lAN@	v\o:r_Xt	kInt	v\As_v	v\Ixi	bUs	lEd@r	mUnd	dr2:\x	d9:r_Xst	v\E:\x	krUm	lE_-i_Xti	xOu_Xt	kEld_X@r	f2:r_X / f2:	mYs_v		drINkN_=	br9_r:i_Xj@r	m9i_X		dYn	zu:r	pYt	y:r			vy:r_X		drYkN_=	hEbm_=	stYk	brY:\x	fo:\l	kOm_=	d2_o:r		GrAs		bAk_XN_=	dOu_X	a:i_Xj@r	krig_XN_=		v\Azn_=	vif		h2:\i_X	Is	Gr9i_Xn	bo:\mpi	v\in	hu:\s	mE:lk	sp9:\i_Xt	kOu_X	kOst@r		bu:g_XN_=		blO:u	slO_r:g_XN_=	stIp	flO:\u_X	snE:i_X		dOu_Xn	d2:\pm_=			d9:\sxn_=	bIn_=	
