	aarde	adem	appels	armen	auto's	baarden	bedden	benen	beenderen	beren (wild)	beurzen	bezems	bier	bijen	bladen	bladeren	bokken	bomen	bonen	boter	broeken	broers	broden	dagen	daken	damp	darmen	deeg	deuren	dingen	dieven	dochters	doeken	donder	dorst	draden	duiven	dweilen	eeuwen	eieren	einde	engelen	ezels	flessen	fruit	gal	ganzen	geld	gerst	glazen	god	goud	graven	gras	haken	hanen	haast	handen	haver	heren	hemden	hemel	hengsten	hoeden	holen	honden	honger	hooi	hopen	hoop (espoir)	horens	huizen	jongen	kaas	kaf	kalveren	kammen (1)	kamers	kanten	karren	kasten	katten	kermis	kersen	kervel	kinderen	klaver	kleden	klederen	knechten	knieen	koeien	kommen	konijnen	koorts	koper	kousen	kramp	lammeren	lampen	latten	leem	leugens	leden	liederen	lijken	lucht	magen	maanden	maten	marmer	mazelen	mei	melk	merg	meid	meubels	modder	moes	mossels	muizen	muren	naalden	negers	noten	ogen	oogst	paarden	paden	padden	Pasen	peren	pekel	peper	pijpen	planken	pleinen	ploegen (werktuig)	potten	regen	ribben	riet	rijst	ringen	rogge	rokken	rondes	rook	runderen	ruzies	sap	saus	schapen	schade	schimmel	schepen	schoenen	scholen	schuld	slijm	smeden	sneeuw	soep	spelden	sport (spel)	stallen	stenen	stoelen	stof (huisvuil)	stokken	straten	strepen	suiker	taarten	tafels	takken	tanden	tangen	tantes	tarwe	tenen	torens	tralies	trams	treinen	twijfel	uilen	vader	vaten	verf	vesten	veulens	vijgen	vingers	vissen	vlaggen	vlas	vlees	vlooien	vloeken	voeten	vogels	volk	vuur	wafels	wegen (1)	wijven	wijn	wol	woorden	zakken	zand	zee	zeep	zeilen	ziektes	zonen	aardig	arm	bezig	bitter	blauw	bleek	blind	blond	braaf	breed	bruin	diep	dik	dol	donker	doof	droog	dubbel	dun	duur	echt	eigen	enkel	fel	fijn	flauw	geel	gewoon	goed	gouden	grijs	groen	grof	groot	haastig	half	hard	heel	heet	heilig	hol	hoog	jong	juist	kalm	klein	koel	kort	koud	kreupel	krom	kwaad	laag	laat	lam	lang	lastig	ledig	licht	lomp	lui	mager	moe	mogelijk	nat	nieuw	open	oud	proper	raar	recht	rijk	rijp	rond	rood	scheef	scheel	scherp	schoon	schuw	simpel	slecht	slim	smal	stijf	stil	stom	stout	taai	tam	traag	vals	vast	veel	meer	ver	vers	vet	vol	vreemd	vrij	vroeg	vuil	warm	weinig	wijd	wild	wit	zacht	zeker	ziek	zilveren	zoet	zout	zuur	zwaar	zwart	bakken	barsten	beginnen	beven	bidden	bijten	binden	blazen	blijven	bloeden	bloeien	blozen	boren	bouwen	braden	branden	breien	brengen	buigen	dansen	denken	dienen	dooien	dopen	dorsen	draaien	dragen	dreigen	drinken	dromen	durven	duwen	eten	gaan	gapen	gebruiken	geloven	geraken	geven	halen	hangen	heffen	helpen	heten	hoesten	horen	houden	jagen	jeuken	kammen (2)	kennen	keuren	kiezen	kijken	kloppen (1)	kneden	koken	komen	kopen	kraken	krijgen	krimpen	kruipen	lachen	laten	leggen	leren	leunen	lezen	liggen	likken	lopen	luiden	luisteren	maken	menen	metselen	missen	moeten	mogen	noemen	pellen	piepen	proeven	raden	redden	rekken	rijden	roepen	roeren	ruiken	schaven	scheiden	scheppen	scheren	schieten	schrijven	schudden	schuiven	schuren	slaan	slijpen	sluiten	smelten	smeren	sneeuwen	slapen	spannen	sparen	spartelen	spelen	spreken	springen	spuiten	staan	stampen	steken	stelen	sterven	strooien	sturen (zenden)	tellen	temmen	timmeren	treffen	trouwen	vallen	vangen	varen	vechten	vieren	vinden	vliegen	voegen	voelen	volgen	vragen	vriezen	vrijen	wachten	wassen	wegen (2)	weken	wensen	werken	weten	wieden	willen	winnen	wippen	wonen	worden	wrijven	zeggen	zetten	zien	zuigen	zitten	zoeken	zorgen	zouten	zuchten	zwellen	zwemmen	geweest	zijn	gehad	hebben	doen	kloppen (2)	leven	breken	zwijgen	af	acht	achter	anders	best (bijw)	bij (vz)	boven	buiten	derde	dinsdag	donderdag	door	drie	duizend	elf	gaarne	genoeg	gisteren	hier	maandag	maart	morgen (demain)	negen	nog	noorden	nu	om	ons	ook	oosten	op	over	tegen	tien	tussen	twaalf	twee	tweede	twintig	veertig	vier	vijf	vijftig	voor	vrijdag	weer	weg	woensdag	zaterdag	zelf	zes	zeven	zeventig	zondag	zonder
Aalsmeer NH	ʔɒrde	ʔɒdəm	ʔapəls	ʔarəmə	ʔautous	bærdə	bɛdə	binə	binə	berə	børzə	beizəmps	bir	bajə	blɒjə		bɔkə	boumə	bonə	botər	brukə	brurs	brojə	daxə	dakə	damp	darəmə	deiχ	dørə	dɪŋə	diʋə	dɔχtərs	dukə	ʔəndɔndər	dɔɼt		dʌɥwə	dʋailə	ʔeuwə	ʔɒiərə	ʔaində	ʔɛŋələ	ʔeizəls	flɛsə	frʌɥt	χal	χazə	xɛlt	χɔɼt	χlazə	xɔt	χaut	χraʋə	χras	ɦeikə	ɦanə	ɦeist	ɦandə	ɦaʋər	ɦerə	ɦɛmdə	ɦeiməl	ɦɛŋkstə	ɦudə	ɦɔlə	ɦɔndə	ɦɔŋər	ɦoi	ɦoupə	ɦoup	ɦorəns	ɦʌɥzə		keis	kaf	kaləʋə	kamə	kamərs	kɒntə	karə	kastə	katə	kɛrəmɪs	kɔɼsə	kɛrəʋəl	kaindərs	klaʋər	kleidə	klerə	knɛxs	knɪjə	kujə	kɔmə	kənainə	koɼ	koupər	kausə	kramp	lamə	lampə	latə	leim	løɥɣəs	leijə	lidərə	lɒikə	loxt	maʁə	mandə		marəmər	mazələ	mai	mɛlək	mɛrəx	ʔəmmɒit	møɥbələ	mɔdər	mus	mɔsələ	mʌɥzə	mʏrə	nældə	neixərs	nøɥtə	ʔouχə	ʔoχst	pærdə	pajə	padəs	pasə	perə	ʔəmpeikəl	peipər	paipə	plaŋkə	plainə	pluɣə	pɔtə	reiɣə	rɪbə	rit	raist	rɪŋə	rɔɣə	rɔkə	rɔndəs	rouk		rʏzis	sɔp	saus	sxæpə	sxadə	sxɪməl	sxeipə	sxunə	sxolə	sxolt	slaim	smɪts	snʏʔ	sup	spɛldə	spɔrt	stalə	stinə	stulə		stɔkə	streitə	streipə	sʌɥkər	tartə	tafəls	takə	tɒndə	taŋə	tantəs	tarəwə	teijə	torəs	tralis	trɛmə		twaifəl	ʔʌɥlə	fadər	fatə	førəf	fɛstə	føləs	faiɣə	fɪŋərs	fɪsə	flɒɣə	flas	flɒs	flojə	flukə	futə	foɣəls	fɔlək	fʏr	wafəls	weiɣə	waiʋə	wain	wɔl	wordə	zakə	zant	zei	zeip	zailə	ziktəs	zøɥs	ʔardəx	ʔarəm	beizəx	bɪtər	blæu	bleik	blɪnt	blɔnt	braf	breit	brʌɥn	dip	dɪk	dɔl	dɔŋkər	douf	droux	dobəl	don	dir	ʔɛχt	ʔaiɣə	ʔɛŋkəl	fɛl	fɒin	flers	χel	χəwøɥn	χut	χaut	χrais	χrun	χrɔf	χrot	ɦeistəx	ɦaləf	ɦard	ɦel	ɦeit	ɦailəx	ɦɔl	ɦouχ	jɔŋ	jʌɥst	kaləm	klɒn	kul	kɔrt	kaut	krøɥpəl	krɔm	kweit	lɒx	lɒt	lam	laŋ	lastɨx	leix	lɪxt	lɔmp	lʌɥ	maɣər	mui	mouɣələk	nat	not	ʔoupə	ʔaut	proupər	rar	rɛxt	raik	raip	rɔnt	rot	sxif	sxel	sxarəp	sxon	sxʏw	sɪmpəl	slɛxt	slɪm	smal	staif	stɪl	stɔm	staut	taj		trax	fals	ʋast	føɥl	mer	fɛr	fɔɼ	fɛt	fɔl	freimt	frai	frux		warəm		wait	wɪlt	wɪt	zaxt	zeikər	zik	zɪləʋər	zut	zaut	zʏr	zwær	zwart	bɒkə	bɔɼtə	bəxɪnə	beiʋə	bɪdə	baitə	bɪndə	bleizə	blaiʋə	blujə		blouzə	borə	bauwə	brajə	brandə	brɒjə	brɛŋə	bʌɥɣə	dɒsə	dɛŋkə	dinə	dojə	doupə	dɔɼə	drɒjə	draɣə	draiɣə	drɪŋkə	droumə	dorəʋə	dauwə	ʔeitə	xæn	xapə	xəbrʌɥkə	louwə	rakə	xeiʋə	ɦalə	ɦaŋə	ɦɛfə	ɦɛləpə	ɦeitə	ɦustə	ɦorə	ɦauwə	jaɣə	jokə	kamə	kɛnə	kørə	kizə	kaikə	klɔpə	knejə	koukə	kɔmə	koupə	krakə	kraiɣə	krɪmpə	krʌɥpə	lɒxə	leitə	lɛɣə	lerə	løɥnə	leizə	lɛɣə	lɪkə	loupə	lʌɥjə	lʌɥstərə	makə	meinə	mɛsələ	mɪsə	mutə	maɣə	numə	pɛlə	pipə	pruwə	rɒjə	rɛdə	rɛkə	raijə	rupə	rurə	rʌɥkə	sxaʋə	sxaijə	sxɛpə	sxerə	sxitə	sxraiwə	sxodə	sxaiwə	sxʏrə	slæn	slaipə	slʌɥtə	smɛltə	smerə	snʏwə	sleipə	spanə	sparə	spartələ	spølə	spreikə	sprɪŋə	spʌɥtə	stæn	stampə	steikə	stelə	storəʋə	strojə	stirə	tɛlə		tɪmərə	trɛfə	trauwə	ʋɒlə	fɒŋə	farə	fɛxtə	firə	fɪndə	fliɣə	fuɣə	ʋulə	fɔləɣə	fraɣə	frizə	fraijə	wɒxtə	wasə	weiɣə	weikə	wɛsə	wɛrəkə	weitə	waijə	wɪlə	ʋɪnə	ʋøpə	ʋøɥnə	ʋɔrə	fraiwə	zɛɣə	zɛtə	zin	zʌɥɣə	zɪtə	zukə	zørəɣə	zautə	zoxtə	zwɛlə	zwɛmə	xəweist	weizə	xəɦɒt		dun	klɔpə	leiwə	breikə	zwaiɣə	ʔɔf	ʔɒxt	ʔɒxtər	ʔarə	bɛst	bai	bouwə	bʌɥtə	dʌrdə	dɪnzdax	dɔndərdax	dør	dri	dozənt	ʔɛləf	xrax	xənoyx	xøstərə	ɦir	mandax	mært	mørəxə	neiɣə	nɔx	nordə	nʏ	ʔɔm	ʔɔs	ʔɔk	ʔostə	ʔɔp	ʔɔuwər	tøɥɣə	tin	tosə	twaləf	twi	twidə	twɪntəx	fertəx	fir	faif	faiftəx	før	fraidax	wer	wɛx	wøɥnəzdax	zatərdax	zɛləf	zɛs	zøɥwə	zøɥwəntəx	zøndax	zɔndər
Aalst BeLb	ɛət	osəm	ɑpəls	ærəmən	ɔʉtɔʉs	bɔdə	bɛdə	biənə	biəndərə	berə	bœirzə	bæsəms	beir	bijə	blɔrə	bleər	bœk	byøm	bonə	bɔtər	brøkə	bryørs	bryør	dɔx	dɔkə		dærəmə	diix	dœyrə	dæŋə	divə	dɔxtərs	dyk	dɔndər	dɔs	drør	davə		iəwə	eir	ændə	ɛŋəls	eizəls	flæsə	frœyt	ɣɑl	ɣɑzə	ɣælt	ɣɑs	ɣlɔzə	ɣɔt	ɣot	ɣrɔvə	ɣrɔs	ɦøk	ɦɔnə		ɦan	ɦɔvər	ɦiərə	ɦøməs	nənɦiməl	ɦɛŋksə	ɦyj	ɦɔlə	ɦœn	ɦuŋər	ɦoi	ɦyøp	ɦoup	ɦøən	ɦœs	jœŋ	ənəkeəs	kɑf	kɑləvərə	kæm	kɔmərs	kɑntə	kɛrə	kɑsə	kɑtə	kɛrəmes	kɛzə	kɛləvər	kɛŋər	klɔvər	kliər		knæxtə	knɛjə	kœ	kumpə	kənɛnə	kɔtsə	koupər	kosə	krɑmp		lɑmpə	lɑtə	liəm	løiɣəs	lejə		lɛkə	lɔx	mex	mɔɲ	moətə	mɑrəmər	mɔzərə	mɛi	mɛlək	mærex		møibəls		mus	mɔsəls	mazə	myr	nolə	neɣərs	nøytə	uɔɣə	uɔs	pɛədə	pɑdə	pɑdə	poɔsə	perə	pikəl	pepər	pɛpə	plaŋkə	plɛnə	pluɣə	pɔtə	reəɣəl	rebə	rit	rɛs	rɛŋ		rœk	rɔndə	rouk		røizeŋs	sɑp	sas	sxop	sxɔœ	sxœməl	sxeipə	sxunə	sxoulə	sxœlt	slɛm	smejə	sna	sɔp	spælə	spɔrt	stal	stiinə	stulə		stækə	stroɔtə	striəpə	sokər		tɔfəls	tɑkə	tɑn	taŋə	tɑntə	tærəf	tiənə	tøn	tralis	trɑms	trɛənə	twɛfəl	œlə	əvɔr	vɔtə	værəf	væstə	vøiləs	vɛɣə	veŋərs	vesə	vlɑɣə	vlɑs	vliəs	vlojə	vlokə	vutə	vouɣəls	vɔlək	əvyr	wɑfəls		wɛvə	wɛn	wɔl	woɔdə	zɛk		ənziə	ziəp	zɛələ	zektəs	zœns	ɔdex	ærəm	beizex	betər	blou	bliik	blent	blɔnt	brɔf	briət	bran	deip	dek		duŋkəl	duɔf	dryøx	dɔbəl	døn	dir	ɛx	eiɣə	æŋkəl	fɛl	fɛn	flɔu	ɣel	ɣəwuɔn	ɣut	ɣɔu	ɣrɛs	ɣrøn		ɣruɔt		ɦɑləf	ɦɔt	ɦiəl	ɦiət	ɦɛlex	ɦoul	ɦuɔx	jɔŋk	dʒøs	kɑləm	klɛin	kyl	kɔt	kat	krøypəl	krump	koɔt	leix	lɔt	lɔm	laŋk	læstex	leix	lex	lump	lœy	mɔɣər	møy	møyɣələk	nɔt	nif	oupə	ɔt	proupəl	rɔr	ræx	rɛk	rɛp	rɔnt	ruɔt	sxeif	sxel	sxærəp	sxuɔn	sxau	sempəl	slæx	slœm	smɔl	stɛf	stel	stum	stot	tex	tɔm	trɔx	vɑls	vɑst	vøl	miər		vɔs	vɛt	vɔl	vrœmp	vrɛ	vrøx	val	wærəm	wɛnex	wɛt	welt	wet		zeikər	zek	zeləvərə	zyt	zat	zuɔr	zwor	zwɑt	bakə	bɔstə	beɣenə	beivə	bedə	bɛətə	bendə	blozə	blɛvə	blyjə	blœə	blozə	bourə	bɔœ	broə	bɛənə		bræŋə	bœyɣə	dɑsə	dæŋkə	dinə	dojə	dyøpə	dɔsə	drɛə	drɔɣə	drɛiɣə	dræŋkə	dryømə	dørəvə	dɔœ	eitə	ɣoən	ɣɔpə	ɣəbrœkə	ɣəlyøvə	rɔkə	ɣevə	ɦɔlə	ɦaŋə	ɦæfə	ɦæləpə	ɦɛitə	ɦustə	ɦyrə	ɦan	jɔɣə	jyøkə	kœmə	kɛnə	køirə	keizə	koukə	klɔpə	knejə	koukə	koumə	kuɔpə	krɔkə	krɛɣə	krempə	krapə	lɑxə	loɔtə	lɛɣə	liərə	løinə	leəzə	leɣə	lækə	luɔpə	lœə	lœstərə	mɔkə	mɛinə	mætsə	mesə	motə	mouɣə	nyømə	pɛlə	peipə	pryøvə	roɔdə	rædə	rækə	rɛə	rupə	ryørə	rikə	sxɔvə	sxejə	sxœpə	sxerə	sxitə	sxrɛvə	sxœdə	sxœvə	sxuɔrə	slɔn	slɛpə	slatə	smɛltə	smerə	snɔə	slɔpə	spɑnə	spɔrə	spɑtələ	speilə	sprekə	sprɛŋə	spœytə	stoən	stɑmpə	stekə	steələ	stærəvə	stroijə		tɛlə	tœmə	temərə	træfə	trɔə	vɑlə	vaŋə	vɔrə	væxtə	veirə	vendə	vleiɣə	vuɔɣə	vyølə	vɔləɣə	vrɔɣə	vreizə		wɑxtə	wɑsə	woɣə	wɛikə	wænsə	wɛrəkə	wɛitə		welə	wenə	wepə	wunə	wɛənə	vrɛəvə	zæɣə	zɛtə	zein	zøkə	zɛtə	zøkə	zɔrəɣə	zɔtə	zœxtə	zwælə	zwœmə	ɣəwes	zɛn	ɣɑt	ɦɑbə	døn	klɔpə	leivə	brekə		ɑf	axt	axtər	anəs	bɛs	bɛ	bouvə	batə	dærdə	dɛistɑx	dɔnəstɑx	dour	drɛ	dyzənt	ɛləf	ɣɛən	ɣənux	ɣestrə	ɦɛ	mɔndɑx	mɛət	mœrəɣə	neiɣə	nɔx	noədə	na	œm	os	ɔx	uɔstə	ɔp	ɵivər	teiɣə	tiən	tœsə	twɑləf	twei	twedə	twɛntex	feətex	vir	vɛf	fɛftex	vøir	vrɛdɑx	wer	wɛx	wunəstɑx	sotərdɑx	zæləf	zɛs	zeivə	seivətex	zɔndɑx	
Aalst BeOv	eɛrdə	osəm	ɑpələn	ærəmən	otos	bordən	bedən	biənən		beɛrən	bezn		bir	bin	bloərn	bloərn	bokən	buəmən	buən	butər	brukən	brurs	bruən	dɔɣən	dɔkən		dærəmən	diəx	derən	deŋəs	divən	doxtərs	dukən	dondər	dest	droən	doɛvən	dwoalən	iwən	oarən	ɛnə	eŋələn	ɛzəls	flɛsən	froɛt	ɣɑlə	ɣɑnzən	ɣɛlt	ɣest	ɣlozən	ɣot	ɣat	ɣrovən	ɣɛs	ɔkən	onən	ostə	ɑn	ɔvər	iərən	ɛmənən	dəneməl	iŋstən	ujən	olən	onən	oŋər	ue	uəpən	op	uərəns	oɛzən	joŋərən	kɛs	kɑf	kɔlvərən	kɑmən	kɔmərs	kɑntən	kærən	kɑsən	kɑtən	kærəmis	kɛzn	kærvəl	kinərən	klɔvər	kliərn		knɛxtən	kninən	kujən	komən	konɑɛnən	kersn	kopər	kasən	krɑmp		lɑmpən	lɑtən	liəm	leɣəs	lɛdən		lɑɛkən	loxt	mɔɣən	mon	motn	mærmər	mozələn	moa	mɛlk	mærx	əmɑɛt	mɛbələn	mur	mus	mosələn	moɛzən	mirən	nolən	nɛɣərs	nutən	uəɣən	uəst	peɛrən		pɑdən	posn		nəpɛkər	pɛpər	poapən	plɑŋkəŋ	plɑɛnən	pluɣən	potən	dəreɣən	ribən	rit	roɛs	riŋən	roɣə	rokə	rondən	ruək		riʒəs	zɑp	sas	sxopən	sxoɛ	nəsximəl	sxepən	sxunən	sxulən	sxilt	slɑɛm	smedən	sniə	sup	speldən	sport	stalən	stiənən	stulən	stof	stokən	strotən	strɛpən	soɛkər	tortən	tɔfəls	tɛkən	tɑnən	tɑŋən	tɑntəs	tɛrə	tiənən	turəs	əntrolə	trɑms	tranʃ	twɑfəl	oɛlən	voər	votən	vɛrf	vestən	veləs	voaɣən	viŋərs	visən	vlɑɣən	vlɑs	vliəs	vluən	vlukən	vutən	vuɣəls	volk	vir	wɔfəls	weɣən	wɑɛvən	wɑɛn	wolə	wordən	zɑkən	zɑnt	ziə	ziəp	zɑɛlən	ziktən	zunʃ	ordəx	arəm	bɛzəx	bitər	blat	bliək	blint	blont	braf	briət	broɛn	dip	dik	dol	doŋkər	duəf	druəx	dobəl	dinə	dir	ɛxt	oaɣən	eŋkəl	fɛl	foan	fla	ɣeɛl	ɣəwuən	ɣut	ɣavən	ɣrɑɛs	ɣruŋ		ɣruət	ostəx	ɑlf	ɛrt	iəl	iət	ɑɛləx	ɦol	uəx	joŋ	ʒyst	kɑləm	klæn	kul	kɛrt	kat	krɛpəl	krom	kot	liəx	lɔt	lɑm	lɑŋ	lɑstəx	lɛx	lixt	lomp	loɛ	moɣər	mu	meɣəlɛk	nɑt	nif	opə	at		rol	rɛxt	roak	roap	ront	ruət	sxiəf	sxeɛl	sxærp	sxuən	sxa	simpəl	slɛxt	sleəm	smal	stoaf	stilə	stom	stat	toəj	tɑm	trɔx	vɑls	vɑst	vɛil	miər	vɛr	vɛs	vɛt	vol	vrɛmt	vrɑɛ	vrux	voɛl	wærəm	woanəx	woat	wilt	wit	zoxt	zɛjkər	zik	zilvərn	zut	zat	zir	zwor	zwɑrt	bɑkən	bɛstn	bəɣin	bɛvən	bidən	boatən	binən	blozn	blævən	blujən	blujən	bluzən	buərən	ban	breɛn	brɑnən	brɑən	briŋən	boɛɣən	dɑnsən		dinən	duən	duəpən	desn	droən	droɣən	drɑɛɣən	driŋkən	druəmən	tavən	davən	ɛtən	ɣon	ɣopən	ɣəbroɛkən	ɣəluəvən	ɣərokən	ɣevən	oln	ɑŋən	ɛfən	ɛlpən		ustən	uərən	avən	joɣən	iəkən	kɑmən	kenən	kɛrən	kizn	koakən	klopən	knedən	kokən	komən	kuəpən	krokən	kre	krimpən	kroɛpən	lɑxən	lotən	leɣən	liərən	lenən	lezən	liɣən	lɛkən	luəpən	loən	loəstərən	mokən	miənən	mɑʃən	misən	mutən	meɣən	numən	pelən	pipən	pruvən	roən	rɛdən	rɛkən	roan	rupən	rurən	rikən	sxovən	sxiən	sxepən	sxerən	sxitən	sxroavən	sxidən	sxoɛvən	sxirən	slon	slɛpən	sloɛtən	smɛltən	smeɛrən	sniən	slopən	spɑnən	sporən	spɛrtələn	spelən	sprekən	spriŋən	spiətən	ston	stɑmpən	stekən	stelən	stærvən	struən	stirn	telən	temən	timərən	trɛfən	tran	vɑlən	vɑŋən	veɛrn	vextn	virn	vinən	vliɣən	vuɣən	vulən	volɣən	vroɣən	vrizn	vrɛjən	wɑxtən	wɑsən	weɣən	wiəkən	wensən	wærkən	wetən	wiən	wilən	winən	wipən	wuənən		vravən	zeɣən	zɛtən	zin	zoɛɣən	zitən	zukən	zerɣən	zatən	zixtən	zwelən	zwemən	ɣəwest	zen	ɣɑt		duŋ	klopən	lɛvən	brɛkən	zwoaɣən	ɑf	ɑxt	ɑxtər	ɑndərs	best	boa	buvən	boɛtən	dɛrdə	doastndɑx	dondərdɑx	der	droɛ	dyzət	ɛləf	ɣeɛrn	ɣənux	ɣistərn	ir	mondɑx	meɛrt	mɛrn	neɣən	nox	nurdn	na	om	ons	uək	uəstn	op	uvər	teɣən	tin	tisn	twɛləf	twiə	twiədə	twintəx	tfiətəx	vir	voaf	tfoaftəx	vern	vroadɑx	vərom	wex	wunzdɑx	zotərdɑx	zelf	zes	zevən	tsevətəx	zondɑx	zondər
