# -*- coding: utf-8 -*-
# LAMSAS data - new encoding (unicode) - (c) ...
# This data retreived from the main LAMSAS website on 2010-06-17
# Type of data: Phonetic, detailed, only the main lexical variant
# Grouping: By county
# Fieldworker(s): Guy Lowman
# Worksheet(s): Middle Atlantic, South Atlantic
	a little ways	afternoon	Alabama	all at once	andirons	April	Arkansas	Asheville	attic	backlog	Baltimore	blew hard	boiled eggs	bottom	broom	brush	bureau	calming down	canal	chair	Charleston	Chicago	chimney	Cincinnati	cleans up	clearing up	closet	cloudburst	clouding up	clouds	dew	dragonfly	draining	driven	drove	dry spell	eight	eleven	February	feet	fifth	first	five	Florida	fog	foggy	fortnight	forty	four	fourteen	France	from the south	frost	froze over	furniture	Georgia	going on	good day	good morning	gully	half past seven	he died with	hearth	hog pen	hundred	Ireland	January	Kentucky	kitchen	lightwood	loam	Louisiana	Louisville	mantel	marsh	Maryland	Massachusetts	meadow	miles	Missouri	mop	my wife	New England	New Jersey	New Orleans	New York	nice day	night	nine	North Carolina	northeast	northwest	Ohio	one	pallet	parlor	Pennsylvania	Philadelphia	porch	quarter to eleven	quilt	rising	roof	rose	Russia	Saturday	second	seven	seventy	shades	six	sixth	smoky	South Carolina	southeast wind	southwest wind	spelled me	St. Louis	stairs	steady drizzle	Sunday before last	Sunday week	sundown	sunup	swamp	ten	Tennessee	thirteen	thirty	this year	thousand	three	three years old	thunderstorm	Thursday	tomorrow	Tuesday	twelve	twenty	twenty-seven	twice as good	two	umbrella	Virginia	wardrobe	Washington	watch	weatherboarding	Wednesday	what time is it?	while	year ago	yesterday
DC1		ˌæ·ftəˈnuu˗˃·n	æləbæ{ə}mə	ɔ:ɫ$ɪ˗t$wʌ˄{ə}nts	æ{ə}ndɑ˂{ɛ˃}{r}ənz	e·{ɪ˗˂}prəɫ	ˈɒ̯:kɪ˗˅nˌsɔ:	æ·ʃvɪ{ə}ɫ	æ·ɾɪ˗k	bæklɔ:g	bɔ:ɫt̬ɪ˗mɔ· / bɔ:ɫt̬ɪ˗mə				brʊm		bju˗˄˂·ro˅˂ʊ		kənæ˄·{ə}ɫ	tʃæ˄·ə	tʃɒ̯:ɫztən	ʃɪ˗kɒ̯:go˄˂{ʊ}	tʃɪmnɪ˗	sɪn{t}sənæ·ɾɪ˗˄			klɑ˃zɪ˗˅t						dɹe·{ɪ˗˂}nɪ˗ŋ	dɹɪvə̆n	dɹo˂ʊv	dɹa˃·ɛ˃$spɛ·{ə}ɫ	e·{ɪ˗˂}t	ɪ˗˄lɛ˄və̆n	fɛbju˗wɛrɪ˗̆		fɪf{θ}	fɞ̣˄˂st	fa˃·ɛ˃v	flɑ˃rɪ˗˅də	fɑ{ə}g	fɑgɪ˗		fɔ:{ə}`ɾɪ˗	fɔ˄:{ə}	ˈfɔ˄:{ə}ˌti·n	fræ{ə}nts	frəm$ðə$sɐ˅˂ʊ˄θ	frɔ˄·{ə}s{t}	ˌfro˄˂·{ʊ}z$ˈo˂·{ʊ}və	fɜ̣˄·nɪ˗tʃə	dʒɔ̮:{ə}dʒə			gʊd$mɔ:nɪ˗ŋ		hæ·f$pæ·st$sɛbm		hɒ̯:θ	hɔ:g$pɛ˄{ə}n	hʌ̃˄n{d}ɹəd	ɑ˂ɛə̣lən{d}	dʒænju˗wɛ{r}ɪ˗	kəntʌ˄kɪ˗	kɪtʃɪ˗˅n			lu˗{w}ˌizɪ˗ˈæ{ə}nə	lu˗˃·ɪ˗˄vɪ{ə}ɫ	mæ̃˄nt̬ɫ	mɒ̯:ʃ	mɛ{ə}rələn{d}	mæsətʃu˗·sɪ˗˅ts	mɛdo˅˂{ʊ}	ma˃·ɛ˃ɫz	mɪ˗zu˗{ə}rɪ˗		ma˃·{ɛ˃}$ˈwɐɪ˗f	n{i˅˃}u˗$ɪŋglən{d}		n{ɪ˄}u˗$ˈɔ:{ə}lɪ˗nz	n{i˅˃}u˗$jɔ̮:{ə}k		na˄˃ɪ˗t	na˃·ɛ˃n	nɔ:θ$kæ˄rəla˃·ɛ˃nə	nɔ:θi·st	nɔ:θwɛst		wʌ˄{ə}n	pæɫɪ˗˅t	pɒ̯:{ə}lə			pɔ˄:{ə}tʃ			ra˃·ɛ˄zɪ˗ŋ	ru˗·{u˗˄˃}f	ro˄˂ʊz	rʌ̮˄ʃə	sæɾədɪ˗̆˅	sɛkən{d}	sɛvə̆n	sɛvə̆ntɪ˗̆˅	ʃeɪ˗dz	sɪks	sɪks{θ}		sɐʊθ$kæ˄rəla˃·ɛ˃nə				seɪ˗nt$lu˂·ɪ˗˅s	stæ˄·ə̣z	stɛdɪ˗$dɹɪzɫ	sʌ˄ndɪ˗$bɪ˗ˈfɔ:{ə}$ˌlæ˄·{ə˄˂}st		sʌ˄ndæ˅ʊ˅n		swɒ̯˂mp	tɛ˄{ə}n	tɛnəsi˄·	ˈθɞ̣˄˂ˌti·n	θɞ˄˂·ɾɪ˗	ðɪʃ$jɪə˄˃	θæ˅·ʊ˅znd	θri·	θri·$jɪəz$o˄˂{ʊ}ɫ{d}	θʌ˄ndəstɔ:m	θɞ̣˄˃·zdɪ˗̆˅	təmɑ˃{ə}rə	t{i}u˗zdɪ˗̆˅	twɛ·{ə}ɫv	twɛn{ɾ}ɪ˗	twɛn{ɾ}ɪ˗$sɛ{ə}və̆n	twa˄˃ɪ˗s$ɪ˗˅z$gʊ˂·{ə}d	tʊ˗˄u˗˄	ˈʌ˄mˌbrɛlə	vədʒɪnjə	wɔ˄:{ə}dro˄˂{ʊ}b	wɑʃɪ˗ŋtən	wɑ{ə}tʃ		wɛnzdɪ˗̆˅	wʌ˄t$ta˃·ɛ˃m$ɪz$ɪ˗t		jɪər$əgo˅˂ʊ	jɛstədɪ˗
DE1		ˌæftɚˈnʊ˄u˂n / ˌæ·ftɚˈnu˅˂·n / æ˃ftɚnʊ̆˄ŭ˂n	æɫəbæ{ə}mə / æ˃ɫəbæ˃{ə}mə / æɫəbɒ̯˂:mə	ɒ˄:ɫ$ət$wʌ˄{ə}nts / ɒ·ɫ$ət$wʌnts / ɒ˄·ɫ$ət$wʌnts	æ{ə}ndɑ˄ɪ˗ɚnz / æ·nda˃ɪ˗ɚnz / ændɑ˂{ɪ˗}ɚnz	ɛɪ˗p{r}əɫ / ɛɪ˗prəɫ / ɛɪ˗prəɫ	ˌɑ˃ɚˈkæ{ə}nzəs / ˌɑ˃ɚˈkæ·nzəs / ˈɑ˂ɚkənˌsɒ˄·	æʃvɪ{ə}ɫ / æʃvɪ{ə}ɫ / æʃvɪ{ə}ɫ	æɾɪ˗k / æ˃{ə}ɾɪ˗k / æɾɪ˗k	ˈbækˌlɑ˃g	bɒ˄·{ə}ɫt̬əmɚ / bɒ˄·ɫt̬əmɔɚ / bɒ˄·ɫt̬əmɔɚ				bru˗˃·m / bru˗˃·m / bru˗˃·m		bju˗ro˅˂ʊ / bju˗˅{ə}ro˅˂ʊ / bju˗˃ro˅˂ʊ		kənæ{ə}ɫ / kənæ{ə}ɫ / kənæ{ə}ɫ	tʃɪɚ / tʃæ˃ɚ / tʃɛ{ə}ɚ	tʃɑ˃ɚɫztən / tʃɑ˃ɚɫztən / tʃɑ˃ɚɫztən	ʃɪ˗˄kɑ·go˗˅˃ʊ˄ / ʃɪ˗˄kɑ·go˅˂ʊ˄ / ʃəkɑ˃·go˗˅˃ʊ	tʃɪ{ə}mlɪ˗̆{ɪ˗˄} / tʃɪmnɪ˗̆{ɪ˗˄} / tʃɪmnɪ˗̆{ɪ˗˄}	sɪntsənæɾə / sɪn{t}sənæ·ɾɪ˗˄˂ / sɪn{t}sənæɾɪ˗˄		kɫɪɚ̣ɪ˗ŋ$ʌ{ə}p / kɫɪɚɪ˗ŋ$ʌ{ə}p	klɒ˄·{ə}zət / klɑzət		kɫa˄·ʊdɪ˗ŋ$ʌ{ə}p			dɹægən$fla˃·ɪ˗˅ / dɹægən$fla˃·ɪ˗˅	dɹɛɪ˗nɪ˗ŋ / dɹɛɪ˗nɪ˗ŋ / dɹɛɪ˗nɪ˗ŋ	dɹɪvən / dɹɪvən / dɹɪvən	dɹo˗̆ʊ̆v / dɹo˅˂ʊv / dɹo˅˂ʊv	dɹa˄˃ɪ˗˄$spɛ{ə}ɫ / ˈdɹa˃ɪ˗$spɛ{ə}ɫ / dɹa·ɛ˄$spɛ{ə}ɫ	ɛ˄ɪ˗˄t / ɛɪ˗t / ɛɪ˗˄˂t	ɪ˗ɫɛ{ə}və̆n / ɪ˗˄ɫɛ{ə}və̆n / ɪ˗˄˂ɫɛ{ə}və̆n	fɛbju˗wɛ˃ɚɪ˗̆{ɪ˗˄} / fɛbru˗wɚ·ɪ˗˄ / fɛbju˗wɚ·ɪ˗˄ / fɛbru˗wɛ˃{ə}ɚɪ˗̆{ɪ˗˄}		fɪf{θ} / fɪfθ / fɪf{θ}	fɚst / fɚst / fɚ·st	fa˃·ɪ˗˅v / fa·ɛ˄v / fa˃·ɪ˗v	flɑ˃ɚədə / fɫɑ˃ɚədə / flɑrədə	fɒ˄:{ə}g / fɒ˄·{ə}g / fɑg	fɒ˄·{ə}gɪ˗̆{ɪ˗˄} / fɒ˄·{ə}gɪ˗˄˂ / fɑgɪ˗˄		fo˅·ɚɾɪ˗̆{ɪ˗˄} / fɔɚɾɪ˗̆{ɪ˗˄} / fɒ˄ɚɾɪ˗˄	fo˅ɚ / fɔ·ɚ / fɔ˄·ɚ	ˈfo˅ɚtˌti˅in / ˈfɔɚtti˅in / ˈfɔ˄ɚtˌti˅in	fræ·{ə}nts / fræ·{ə}nts / fræ˅{ə}nts	frəm$ðə$sa˄·ʊθ / frəm${ð}ə̆$sa˄·ʊθ	frɒ˄·{ə}st / frɒ˄·{ə}st / frɒ˄·{ə}st	fro˗˅ʊz$o˅ʊvɚ / fro˗˅ʊz$o˗˅ʊ˄vɚ	fɚnɪ˗tʃɚ / fɚnɪ˗tʃɚ / fɚnɪ˗tʃɚ	dʒo˅ɚdʒə / dʒɔ˄ɚdʒə / dʒɔɚdʒə		gʊd$dɛɪ˗ / gʊ̱˂d$dɛɪ˗ / gʊ˂d$dɛɪ˗	gʊd$mo˅ɚnɪ˗ŋ / gʊ̱˂d$mɔɚnɪ˗ŋ / gʊ˂d$mɔɚnɪ˗ŋ	gʌɫɪ˗̆{ɪ˗˄} / gʌ˃ɫɪ˗{ɪ˗˄} / gʌɫɪ˗{ɪ˗˄}	hæ·{ə}{f}$pæ·{ə}s{t}$sɛbm / hæf$pæs{t}$sɛbm / hæ{ə}{f}$pæst$sɛbm		hɚθ / hɑ˃ɚθ / hɒ̯ɚθ	hɒ˄g$pɛ˃{ə}n / hɒ·g$pɛ{ə}n / hɑg$pɛ{ə}n	hʌndɹəd / hʌndɚd / hʌndɹəd	ɑ˂ɪ˗ɚɫən{d} / ɑ˂{ɛ}ɚɫən{d} / ɑ˂{ɪ˗˅}ɚlən{d}	dʒænju˗wɛ˃ɚɪ˗{ɪ˗˄} / dʒænju˗wɚ·ɪ˗˄ / dʒænju˗wɛ˃{ə}ɚɪ˗̆{ɪ˗˄}	kəntʌkɪ˗̆{ɪ˗˄} / kəntʌ˅·kɪ˗{ɪ˗˄} / kəntʌkɪ˗̆{ɪ˗˄}	kɪtʃən / kɪtʃən / kɪtʃən	laɪ˗twʊ{ə}d		lu˗̆˃ˌwizɪ˗˄ˈæ{ə}nə / ɫu˅˂ˌizɪ˗˄ˈæ{ə}nə / lu˗ˌizɪ˗˄ˈæ{ə}nə	lu˂|ɪ˗˄vɪ{ə}ɫ / lu˂·ɪ˗vɪ{ə}ɫ / lu˗˃·|ɪ˗˄vɪ{ə}ɫ	mæ̃·n{ɾ}ɫ	mɒ̯ɚʃ / mɑ˃ɚʃ / mɒ̯ɚʃ	mɛɚəɫən{d} / mɛɚə̆lən{d} / mɛɚələn{d}	mæsətʃu˗˃·səts / mæ·sətʃu˗˃·səts / mæsətʃu˗˃·səts	mɛdə / mɛdə / mɛdə	ma˃·ɪ˗˅ɫz / ma˃·ɪ˗˅ɫz	məzu˗˃{ə}rə / məzu˅˂{ə}rɪ˗{ɪ˗˄} / məzu˅˂ɚɪ˗{ɪ˗˄}		maɪ˗$waɪ˗f / mə$waɪ˗f / mɪ˗˄˂$waɪ˗f / ma˃ɪ˗$waɪ˗f	nʊ˄u˂$ɪŋglən{d} / nʊ˄u˂$ɪŋglən{d} / nʊ˄u˂$ɪŋglən{d}		nŭ˄ŭ˂$ɔ˄ɚɫənz / ˌnu˅˂·$ɚˈli˅inz / nʊ̆˄ŭ˂$ˈɔɚlɪ˗˄ənz	nʊ˄u˂$jo˅ɚk / nʊ˄u˂$jɔɚk / nʊ˄u˂$jɔɚk		naɪ˗t / naɪ˗t / naɪ˗t	na˃ɪ˗n / na˃·ɪ˗˅n / na˃·ɪ˗˅n	no˅ɚθ$kɛɚəla˃ɛnə / nɔɚθ$kɛɚəla˃ɪ˗˅nə / ˌnɔɚθ$ˌkɛɚəˈla˃ɪ˗nə	no˅ɚθˈi˅ist / nɔɚθˈi˅ist / nɔɚθi˅ist	no˅ɚθwɛst / nɔɚθwɛst / nɔɚθwɛst		wʌ{ə}n / wʌ·{ə}n / wʌ·{ə}n		pɑ˃·ɫɚ			po˅ɚtʃ / pɔɚtʃ / pɔ˄ɚtʃ	kwo˅{ɚ}ɾɚ$tu˅˂$ɪ˗lɛvə̆n / kwɒ˄·ɾɚ$tu˅˂$ɪ˗lɛvɱ / kwɔ˄{ɚ}ɾɚ$tu˂$ɪ˗lɛvɱ	kwɪ{ə}ɫt / kwɪ{ə}ɫt / kwɪ{ə}ɫt	ra˃·ɪ˗zɪ˗ŋ	ru˂·f / rʊf / rʊf	ro˗˅ʊz / ro˅˂ʊz / ro˗˅˃ʊz	rʌ˂ʃə˄˂ / rʌʃə / rʌ˂ʃə	sæɾɚdɪ˗ / sæɾɚdɪ˗̆{ɪ˗˄} / sæɾɚdɪ˗	sɛkənt / sɛkən{d} / sɛkən{d}	sɛ{ə}və̆n / sɛvə̆n / sɛ{ə}və̆n	sɛvndɪ˗{ɪ˗˄} / sɛvɱdɪ˗̆{ɪ˗˄} / sɛvɱdɪ˗˄	ʃɛɪ˗dz / ʃɛɪ˗dz	sɪks / sɪks / sɪks	sɪksθ / sɪksθ / sɪks{θ}		sa˄·ʊθ$kɛɚəla˃ɛnə / sa·ʊθ$kɛɚəla˃ɪ˗˅nə / sa˄ʊθ$ˌkɛɚəˈla˃ɪ˗nə				sɛɪ˗nt$ɫu˂·əs / sɛnt$lu˅˂·ɪ˗˄ / sənt$lu˅˂·əs	stɛɚz / stɛɚz	stɛdɪ˗̆{ɪ˗˄}$dɹɪzɫ / stɛ˃dɪ˗˄$dɹɪzɫ / stɛ˃dɪ˗˄$dɹɪzɫ		ˌsʌndɪ˗˄$ˈwi˅ik / ˌsʌndɪ˗$ˈwi˅{i}k	sʌ˂ndæ˅·ʊn / sʌ˂nda˄ʊn	sʌ˂nʌp	swɒ˄·{ə}mp / swɒ·mp / swɒ˄·mp	tɛ{ə}n / tɛn / tɛ{ə}n	tɛnəsi˅{i} / tɛnəsi˅i / tɛnəsi˅i	ˌθɚtˈti˅in / ˌθɚtˈti˅in / ˌθɚtˈti˅in	θɚɾɪ˗̆{ɪ˗˄} / θɚɾɪ˗̆{ɪ˗˄} / θɚɾɪ˗˄	ðɪʃ$jɪ˄ɚ / ðɪʃ$jɪɚ / ðɪʃ$jɪ˄ɚ	θæ·ʊzn{d} / θæ˅ʊzn{d} / θa˄·ʊ˅zn{d}	θɾ̣i˅i / θri˅i / θri˅i	θri˅i$jɪ˄ɚz$o˅˂ʊɫd / θri˅˃i$jɪ˄ɚz$o˅˂ʊɫ{d} / θɾ̣̆i˅i$jɪ˄ɚz$o˅˂ʊɫd	θʌndɚsto˅ɚm / θʌ˂ndɚstɔ˄ɚm / θʌndɚstɔ˄ɚm	θɚ·zdɪ˗ / θɚzdɪ˗̆{ɪ˗˄} / θɚzdɪ˗	təmɑ˃rŏ˅˂{ʊ} / təmɑrə / təmɑrə	tʊ˄u˂zdɪ˗ / tu˅˂·zdɪ˗̆{ɪ˗˄} / tu˅˂·zdɪ˗	twɛ˃{ə}ɫv / twɛ˃{ə}ɫv / twɛ{ə}ɫv	twɛn{ɾ}ɪ˗̆{ɪ˗˄} / twɛ˃nɾɪ˗̆{ɪ˗˄} / twɛ˃nɾɪ˗̆{ɪ˗˄}	twɛn{ɾ}ɪ˗̆{ɪ˗˄}$sɛvə̆n / twɛ˃nɾɪ˗̆{ɪ˗˄}$sɛ˃{ə}və̆n / ˌtwɛnɾɪ˗$ˈsɛ{ə}və̆n	twaɪ˗s$əz$gʊ̱˄{ə}d / twaɪ˗s$əz$gʊ{ə}d / twaɪ˗s$əz$gʊ{ə}d	tu˗˃· / tu˅˂· / tu˅˂·	ʌmˈbrɛɫə / ˌʌmˈbrɛɫə / ʌmˈbrɛɫə	vɚdʒɪnjə / vɚdʒɪnjə / vɚdʒɪnjə	ˈwɔ˄ɚdˌɹo˅˂ʊ˅b / ˈwɔɚdˌɹo˗˅˃ʊb / wɔ˄ɚdro˅˂ʊb	wɑ˃{ə}ʃɪ˗ŋtən / wɑʃɪ˗ŋtən / wɑʃɪ˗ŋtən	wɑtʃ / wɑtʃ / wɑtʃ	ˈwɛðɚˌbɔɚdɪ˗ŋ	wɛ{ə}nzdɪ˗ / wɛnzdɪ˗̆{ɪ˗˄} / wɛnzdɪ˗	wʌt$ta˃ɪ˗m$ɪz$ət / wʌt$ta˃·ɪ˗m$ɪz$ət / wʌt$ta˃·ɪ˗˅m$ɪz$ət		jɪ˄ɚ$əˈgo˅˂ʊ / jɪ˄ɚ$əˈgo˅˂ʊ / jɪ˄ɚ$əgo˅˂ʊ	ˈjɛstɚdɪ˗ / jɛstɚdɪ˗̆{ɪ˗˄} / jɛstɚdɪ˗˅
DE2	ə$lɪ˗ɾɫ$wɛ˅ɪ˗z	ˌæftɚˈnʊ˂u˂n	æɫəbæmə	ɒ˄·ɫ$ət$wʌnts	ændɑ˄ɪ˗ɚnz	ɛɪ˗prəɫ	ˈɑ˃ɚkənˌsɒ˄·	æʃv̥ɪ{ə}ɫ	æ˃ɾɪ˗k		bɒ˄·ɫt̬əmo˅ɚ / bɒ˄ɫtmɚ	ˌblu˗˂u˗$ˈhɑ˃ɚd			bru˗˃·m		bju˗˅ɚo˗˅˃ʊ		kənæ{ə}ɫ	tʃɪ˅ɚ	tʃɑ˃ɚɫztən	ʃɪ˗kɑ·go˗̆˅ʊ̆˄	tʃɪ{ə}mnɪ˗ / tʃɪ{ə}mlɪ˗	sɪn{t}sənæɾɪ˗̆{ɪ˗˄}			kɫɒ˄·zət		kɫæ·ʊ̱dn$ʌ{ə}p				dɹɛɪ˗nɪ˗ŋ	dɹɪ˅˃vən	dɹo˗˅ʊ˄v	dɹɑ˂ɛ˄$spɛ{ə}ɫ	ɛ˄ɪ˗˄t	ɪ˗˄ɫɛvə̆n	fɛbju˗wɛ˃ɚɪ˗		fɪ{ə}{f}θ	fɚst	fa˃·ɪ˗˅v	fɫɒ˄˂ɚədə	fɒ˄·g	fɒ˄·gɪ˗̆{ɪ˗˄}		fɔ˄ɚ`ɾɪ˗	fo˅·ɚ	ˈfo˅ɚtˌti˅in	fræ{ə}nts	frəm$ðə$sæʊθ	frɒ˄·{ə}st		fɚnɪ˗tʃɚ	dʒɔ˄ɚdʒə			gʊd$mɔ˄ɚnɪ˗ŋ	gʌ˅ɫɪ˗̆{ɪ˗}˄	hæ{f}$pæs{t}$sɛvə̆n	i˅$d̥aɪ˗d$wɪθ	hɚɚ˄θ	hɒ˄˂·{ə˄˃}g$pɛ˅{ə}n	hʌndɹəd	ɑ˄ɪ˗˅ɚɫən{d}	dʒænju˗wɛ˃ɚɪ˗	kəntʌkɪ˗	kɪtʃən			lŭ˅˂ˌwizɪ˗˄ˈænə	ɫu˗·ɪ˗˄vɪ{ə}ɫ	mæ̃˂·nt̬ɫ	mɑ˃ɚʃ	mɛɚəɫənd	mæsətʃu˗·səts	mɛdə	ma˂·ɪ˗˄ɫz	məzu˗˅˃{ə}ɚɪ˗		ma˃ɪ˗˅$wa˄˃ɪ˗f	nʊ˄u˂$ɪŋglən{d}		nʊ˄u˂$ɔ˄ɚɫənz	nʊ˄u˂$jɔ˄ɚk		na˄˃ɪ˗t	nɑ˂·ɪ˗˅n	nɔ˄ɚθ$kɛ˃ɚəla˃ɪ˗˅nə	nɔ˄ɚθi˅ist	nɔ˄ɚθwɛst		wʌ{ə}n		pɑlɚ			po˅ɚtʃ	kwɔ˄{ɚ}ɾɚ$tu˗˃$ɪ˗lɛvə̆n	kwɪ{ə}ɫt		rʊ˗˃f	roʊ˄˂z̥	rʌ˂ʃə	sæɾɚdɪ˗	sɛkənt	sɛ{ə}və̆n	sɛvə̆ndɪ˗	ʃe˅ɪ˗dz	sɪks	sɪks{t}θ		sæ˃ʊθ$kɛ˃ɚəla˃ɪ˗˅nə	sæʊθi˅ist$wɪnd	sæʊθwɛst$wɪnd		sɛɪ˗nt$ɫu˅˂·əs	stɛɚz	stɛ˃dɪ˗̆{ɪ˗˄}$dɹɪzɫ		ˌsʌndɪ˗$ˈwi˅ik	sʌ˂ndæ·ʊ̱˂n	sʌ˂nʌp	swɒ˄˂·mp	tɛ{ə}n	tɛnəsi˅i	ˌθɚtˈti˅in	θɚɾɪ˗	ðɪʃ$jɪ˄ɚ		θri˅i	θri˅i$jɪ˄ɚz$o˗˅ʊ˄ɫ{d}	θʌndɚstɔ˄ɚm	θɚ·zdɪ˗	təmɑrə	tʊ˄u˂zdɪ˗	twɛ˃ɫv	twɛ˃nɾɪ˗	twɛ˃nɾɪ˗$sɛ{ə}və̆n	twa˄˃ɪ˗s$əz$gʊ˂{ə}d	tʊ˄u˂	ˈʌmbɚɛ{ə}ɫə	vɚdʒɪnjə	ˈwɔ˄ɚdˌro˗˅˃ʊb	wɑ{ə}ʃɪ˗ŋtən	wɑtʃ	ˈwɛðɚˌbɔ˄ɚdɪ˗ŋ / ˈwɛðɚˌbo˅ɚdɪ˗ŋ	wɛnzdɪ˗	wʌt$ta˃·ɪ˗˅m$ɪz$ət		jɪ˄ɚ$əg̥o˗˅ʊ˄	jɛstɚdɪ˗
