# -*- coding: utf-8 -*-
# LAMSAS data - new encoding (unicode) - (c) ...
# This data retreived from the main LAMSAS website on 2010-06-17
# Type of data: Phonetic, detailed, only the main lexical variant
# Grouping: By county
	a little ways	afternoon	Alabama	all at once	andirons	April	Arkansas	Asheville	attic	backlog	Baltimore	blew hard	boiled eggs	bottom	broom	brush	bureau	calming down	canal	chair	Charleston	Chicago	chimney	Cincinnati	cleans up	clearing up	closet	cloudburst	clouding up	clouds	dew	dragonfly	draining	driven	drove	dry spell	eight	eleven	February	feet	fifth	first	five	Florida	fog	foggy	fortnight	forty	four	fourteen	France	from the south	frost	froze over	furniture	Georgia	going on	good day	good morning	gully	half past seven	he died with	hearth	hog pen	hundred	Ireland	January	Kentucky	kitchen	lightwood	loam	Louisiana	Louisville	mantel	marsh	Maryland	Massachusetts	meadow	miles	Missouri	mop	my wife	New England	New Jersey	New Orleans	New York	nice day	night	nine	North Carolina	northeast	northwest	Ohio	one	pallet	parlor	Pennsylvania	Philadelphia	porch	quarter to eleven	quilt	rising	roof	rose	Russia	Saturday	second	seven	seventy	shades	six	sixth	smoky	South Carolina	southeast wind	southwest wind	spelled me	St. Louis	stairs	steady drizzle	Sunday before last	Sunday week	sundown	sunup	swamp	ten	Tennessee	thirteen	thirty	this year	thousand	three	three years old	thunderstorm	Thursday	tomorrow	Tuesday	twelve	twenty	twenty-seven	twice as good	two	umbrella	Virginia	wardrobe	Washington	watch	weatherboarding	Wednesday	what time is it?	while	year ago	yesterday
DC1	ə$ɫɪ˗t̬ɫ$we˅{ə}z	ˌæ·ftəˈnu˂·n / ˌæ·ftəˈnuu˗˃·n	æ{ə}ləbæmə / æləbæ{ə}mə	ɔ·ɫ$ət$wʌ˄{ə}nts / ɔ:ɫ$ɪ˗t$wʌ˄{ə}nts	æ{ə}ndɑ˂{ɛ˃}{r}ənz	e˅{ə}p{r}əɫ / e·{ɪ˗˂}prəɫ	ɒ̯˂·ˈkæ{ə}nzəs / ˈɒ̯:kɪ˗˅nˌsɔ:	æʃvɪ˅˃{ə}ɫ / æ·ʃvɪ{ə}ɫ	ætɪ˗˅k / æ·ɾɪ˗k	bæklɒ{ə}g / bæklɔ:g	bɔ·ɫt̬əmɔ·{ə} / bɔ:ɫt̬ɪ˗mɔ· / bɔ:ɫt̬ɪ˗mə				brʊ˄m / brʊm		bju˗{ə}ro˅ / bju˗˄˂·ro˅˂ʊ		kənæ˅˃{ə}ɫ / kənæ˄·{ə}ɫ	tʃɛ·ə / tʃæ˄·ə	tʃɑ˃·ɫztən / tʃɒ̯:ɫztən	tʃɪ˗kɑ˃·go{ʊ} / ʃɪ˗kɒ̯:go˄˂{ʊ}	tʃɪmnɪ˗ / tʃɪmnɪ˗	sɪn{t}sənæ{ə}t̬ə / sɪn{t}sənæ·ɾɪ˗˄	kɫɪ̆ĭ{ə}nz$ʌp		klɒ̱zət / klɑ˃zɪ˗˅t						dre{ɪ˗˅}nən / dɹe·{ɪ˗˂}nɪ˗ŋ	drɪvn / dɹɪvə̆n	dro˅˂·v / dɹo˂ʊv	drɑ˂·{ɛ˃}$spɛ{d}ɫ / dɹa˃·ɛ˃$spɛ·{ə}ɫ	e˅·{ə˄}t / e·{ɪ˗˂}t	əlɛvɱ / ɪ˗˄lɛ˄və̆n	fɛbju˗wɛ˃{r}ɪ˗ / fɛbju˗wɛrɪ˗̆		fɪ{ə}f{θ} / fɪf{θ}	fɞ{ə̣˄}s{t} / fɞ̣˄˂st	fɑ˂ɛ˃v / fa˃·ɛ˃v	flɒ̯˄˂{r}ə˄də / flɑ˃rɪ˗˅də	fɒ̯˂g̥ / fɑ{ə}g	fɒ̯gɪ˗˅ / fɑgɪ˗		fɔ̮ət̬ɪ˗ / fɔ:{ə}`ɾɪ˗	fɔ˄·ə / fɔ˄:{ə}	fɔəʔtti˅{ə}n / ˈfɔ˄:{ə}ˌti·n	fræ{ə}nts / fræ{ə}nts	frəm$ðə$sa˄ʊθ / frəm$ðə$sɐ˅˂ʊ˄θ	frɔ·{ə}s{t} / frɔ˄·{ə}s{t}	frŏ˅{o}{ə}z$ŏ˅{o}{ə}və˅ / ˌfro˄˂·{ʊ}z$ˈo˂·{ʊ}və	fɜ˄˃·{ə̣}nɪ˗tʃə / fɜ̣˄·nɪ˗tʃə	dʒɔ·{ə}dʒə / dʒɔ̮:{ə}dʒə	go˅|ɪ˗˅n$ɔ·n	gʊd$de˅	gʊd$mɔ·{ə}nən / gʊd$mɔ:nɪ˗ŋ	gʌ˃lɪ˗ / gʌ˃lɪ˗	hæ{ə}{f}$pæ{ə}s$sɛbm / hæ·f$pæ·st$sɛbm		hɒ̯·{ə}θ / hɒ̯:θ	hɔ:g$pɛ˄{ə}n	hʌ{ə}ndəd / hʌ̃˄n{d}ɹəd	ɑ{ɛ˃}{ə}lən{d} / ɑ˂ɛə̣lən{d}	dʒæ˅·nju˗wɛ˃{r}ɪ˗ / dʒænju˗wɛ{r}ɪ˗	kə˄ntʌ˄kɪ˗ / kəntʌ˄kɪ˗	kɪtʃən / kɪtʃɪ˗˅n		lo˅{o˂}m	lu˗{w}ˌizɪ˗ˈæ{ə}nə	lu˅˂·ɪ˗vɪ˅˃{ə}ɫ / lu˗˃·ɪ˗˄vɪ{ə}ɫ	mæn̥tɫ / mæ̃˄nt̬ɫ	mɒ̯˂·ʃ / mɒ̯:ʃ	mɛ˃ɚə̆lən{d} / mɛ{ə}rələn{d}	mæsət{i˅˃}usə˄ts / mæsətʃu˗·sɪ˗˅ts	mɛdo˅· / mɛdo˅˂{ʊ}	mɑ·{ɛ˃}ɫz / ma˃·ɛ˃ɫz	məzu˗˅˃{ə}ro˅˂ / mɪ˗zu˗{ə}rɪ˗		mɑ˂{ɛ˃}$wɑ˄ɪ˗f / ma˃·{ɛ˃}$ˈwɐɪ˗f	nu˅˂$ɪŋlən{d} / n{i˅˃}u˗$ɪŋglən{d}		ˌnu˅˂$əˈli˅{i}nz / n{ɪ˄}u˗$ˈɔ:{ə}lɪ˗nz	nu˅˂$jɔ·{ə}k / n{i˅˃}u˗$jɔ̮:{ə}k		na˃ɪ˗t / na˄˃ɪ˗t	nɑɛ{ə}n / na˃·ɛ˃n	ˌnɔ·θ$kə˄ˈla˃·ɛ˃nə / nɔ:θ$kæ˄rəla˃·ɛ˃nə	nɔ:θi·st	nɔ:θwɛst	o˅{ʊ˅}ha˃ɛ˃o˗	wʌ˃{ə}n / wʌ˄{ə}n	pælə˄˂t / pæɫɪ˗˅t	pɒ̯·{ə}ɫə / pɒ̯:{ə}lə			pɔ˄·ətʃ / pɔ˄:{ə}tʃ		k{w}ɪ˅{ə}ɫt	ra˃·ɛ˄zɪ˗ŋ	ru˅˂f / ru˗·{u˗˄˃}f	ro˅·{ə}z / ro˄˂ʊz	rʌʃə / rʌ̮˄ʃə	sæt̬ədɪ˗˅ / sæɾədɪ˗̆˅	sɛkən{t} / sɛkən{d}	sɛvɱ / sɛvə̆n	sɛvɱdɪ˗˅ / sɛvə̆ntɪ˗̆˅	ʃeɪ˗dz	sɪ˅˃'ks / sɪks	sɪks{t} / sɪks{θ}		saʊθ$kə˄ˈla˃·ɛ˃nə / sɐʊθ$kæ˄rəla˃·ɛ˃nə	saʊ˗˅θi˅{ə}s{t}$wɪ˅{ə}n{d}	saʊ˗˅θwɛ{ə}s{t}$wɪ˅{ə}n{d}		se˅{ɪ˗˅}nt$lu˅˂|ə˄s / seɪ˗nt$lu˂·ɪ˗˅s	stɛəz / stæ˄·ə̣z	stɛ{ə}dɪ˗$drɪ{ə}zɫ / stɛdɪ˗$dɹɪzɫ	sʌ˄ndɪ˗$bɪ˗ˈfɔ:{ə}$ˌlæ˄·{ə˄˂}st		sʌnda˃ʊn / sʌ˄ndæ˅ʊ˅n	sʌnʌp	swɔ˄·{ə}mp / swɒ̯˂mp	tɛ˅{ə}n / tɛ˄{ə}n	tɛnəsi˅{i} / tɛnəsi˄·	θɞ{ɪ˗̣˅}'tti˅{ə}n / ˈθɞ̣˄˂ˌti·n	θɞ{ɪ˗˅}t̬ɪ˗˅ / θɞ˄˂·ɾɪ˗	ðɪʃ$jɪə / ðɪʃ$jɪə˄˃	θæ˅·ʊ˅znd	θri˅i / θri·	θri˅$jɪəz$o˅{ʊ˗˅}ɫ{d} / θri·$jɪəz$o˄˂{ʊ}ɫ{d}	θʌndəstɔ{ə}m / θʌ˄ndəstɔ:m	θɞ{ə̣}zdɪ˗ / θɞ̣˄˃·zdɪ˗̆˅	təmɒ̯˂rə / təmɑ˃{ə}rə	t{h}u˅˂zdɪ˗ / t{i}u˗zdɪ˗̆˅	twɛ{ə}ɫv / twɛ·{ə}ɫv	twɛn{t̬}ɪ˗˅ / twɛn{ɾ}ɪ˗	twɛn{t̬}ɪ˗˅$sɛvɱ / twɛn{ɾ}ɪ˗$sɛ{ə}və̆n	twɑ˄˂ɪ˗s$ə˄z$gʊ{ə}d / twa˄˃ɪ˗s$ɪ˗˅z$gʊ˂·{ə}d	tu / tʊ˗˄u˗˄	ˌʌ˃mbərˈɛ{ə}lə / ˈʌ˄mˌbrɛlə	vədʒɪ˅{ə}njə / vədʒɪnjə	ˈwɔ˄·{ə}dro{ʊ}b / wɔ˄:{ə}dro˄˂{ʊ}b	wɒ̯˂ʃɪ˗ntən / wɑʃɪ˗ŋtən	wɒ̯{ə}tʃ / wɑ{ə}tʃ		wɛ˅{ə}nzdɪ˗ / wɛnzdɪ˗̆˅	hwɒ̯˄˂t$tɑ˂ɛ˃m$ə˄z$ə˄t / wʌ˄t$ta˃·ɛ˃m$ɪz$ɪ˗t		jɪ˅˃{ə}{r}$əgo{ʊ˅} / jɪər$əgo˅˂ʊ	jɛs{t}ə̆dɪ˗ / jɛstədɪ˗
DE1		ˌæftɚˈnʊ˄u˂n / ˌæ·ftɚˈnu˅˂·n / æ˃ftɚnʊ̆˄ŭ˂n	æɫəbæ{ə}mə / æ˃ɫəbæ˃{ə}mə / æɫəbɒ̯˂:mə	ɒ˄:ɫ$ət$wʌ˄{ə}nts / ɒ·ɫ$ət$wʌnts / ɒ˄·ɫ$ət$wʌnts	æ{ə}ndɑ˄ɪ˗ɚnz / æ·nda˃ɪ˗ɚnz / ændɑ˂{ɪ˗}ɚnz	ɛɪ˗p{r}əɫ / ɛɪ˗prəɫ / ɛɪ˗prəɫ	ˌɑ˃ɚˈkæ{ə}nzəs / ˌɑ˃ɚˈkæ·nzəs / ˈɑ˂ɚkənˌsɒ˄·	æʃvɪ{ə}ɫ / æʃvɪ{ə}ɫ / æʃvɪ{ə}ɫ	æɾɪ˗k / æ˃{ə}ɾɪ˗k / æɾɪ˗k	ˈbækˌlɑ˃g	bɒ˄·{ə}ɫt̬əmɚ / bɒ˄·ɫt̬əmɔɚ / bɒ˄·ɫt̬əmɔɚ				bru˗˃·m / bru˗˃·m / bru˗˃·m		bju˗ro˅˂ʊ / bju˗˅{ə}ro˅˂ʊ / bju˗˃ro˅˂ʊ		kənæ{ə}ɫ / kənæ{ə}ɫ / kənæ{ə}ɫ	tʃɪɚ / tʃæ˃ɚ / tʃɛ{ə}ɚ	tʃɑ˃ɚɫztən / tʃɑ˃ɚɫztən / tʃɑ˃ɚɫztən	ʃɪ˗˄kɑ·go˗˅˃ʊ˄ / ʃɪ˗˄kɑ·go˅˂ʊ˄ / ʃəkɑ˃·go˗˅˃ʊ	tʃɪ{ə}mlɪ˗̆{ɪ˗˄} / tʃɪmnɪ˗̆{ɪ˗˄} / tʃɪmnɪ˗̆{ɪ˗˄}	sɪntsənæɾə / sɪn{t}sənæ·ɾɪ˗˄˂ / sɪn{t}sənæɾɪ˗˄		kɫɪɚ̣ɪ˗ŋ$ʌ{ə}p / kɫɪɚɪ˗ŋ$ʌ{ə}p	klɒ˄·{ə}zət / klɑzət		kɫa˄·ʊdɪ˗ŋ$ʌ{ə}p			dɹægən$fla˃·ɪ˗˅ / dɹægən$fla˃·ɪ˗˅	dɹɛɪ˗nɪ˗ŋ / dɹɛɪ˗nɪ˗ŋ / dɹɛɪ˗nɪ˗ŋ	dɹɪvən / dɹɪvən / dɹɪvən	dɹo˗̆ʊ̆v / dɹo˅˂ʊv / dɹo˅˂ʊv	dɹa˄˃ɪ˗˄$spɛ{ə}ɫ / ˈdɹa˃ɪ˗$spɛ{ə}ɫ / dɹa·ɛ˄$spɛ{ə}ɫ	ɛ˄ɪ˗˄t / ɛɪ˗t / ɛɪ˗˄˂t	ɪ˗ɫɛ{ə}və̆n / ɪ˗˄ɫɛ{ə}və̆n / ɪ˗˄˂ɫɛ{ə}və̆n	fɛbju˗wɛ˃ɚɪ˗̆{ɪ˗˄} / fɛbru˗wɚ·ɪ˗˄ / fɛbju˗wɚ·ɪ˗˄ / fɛbru˗wɛ˃{ə}ɚɪ˗̆{ɪ˗˄}		fɪf{θ} / fɪfθ / fɪf{θ}	fɚst / fɚst / fɚ·st	fa˃·ɪ˗˅v / fa·ɛ˄v / fa˃·ɪ˗v	flɑ˃ɚədə / fɫɑ˃ɚədə / flɑrədə	fɒ˄:{ə}g / fɒ˄·{ə}g / fɑg	fɒ˄·{ə}gɪ˗̆{ɪ˗˄} / fɒ˄·{ə}gɪ˗˄˂ / fɑgɪ˗˄		fo˅·ɚɾɪ˗̆{ɪ˗˄} / fɔɚɾɪ˗̆{ɪ˗˄} / fɒ˄ɚɾɪ˗˄	fo˅ɚ / fɔ·ɚ / fɔ˄·ɚ	ˈfo˅ɚtˌti˅in / ˈfɔɚtti˅in / ˈfɔ˄ɚtˌti˅in	fræ·{ə}nts / fræ·{ə}nts / fræ˅{ə}nts	frəm$ðə$sa˄·ʊθ / frəm${ð}ə̆$sa˄·ʊθ	frɒ˄·{ə}st / frɒ˄·{ə}st / frɒ˄·{ə}st	fro˗˅ʊz$o˅ʊvɚ / fro˗˅ʊz$o˗˅ʊ˄vɚ	fɚnɪ˗tʃɚ / fɚnɪ˗tʃɚ / fɚnɪ˗tʃɚ	dʒo˅ɚdʒə / dʒɔ˄ɚdʒə / dʒɔɚdʒə		gʊd$dɛɪ˗ / gʊ̱˂d$dɛɪ˗ / gʊ˂d$dɛɪ˗	gʊd$mo˅ɚnɪ˗ŋ / gʊ̱˂d$mɔɚnɪ˗ŋ / gʊ˂d$mɔɚnɪ˗ŋ	gʌɫɪ˗̆{ɪ˗˄} / gʌ˃ɫɪ˗{ɪ˗˄} / gʌɫɪ˗{ɪ˗˄}	hæ·{ə}{f}$pæ·{ə}s{t}$sɛbm / hæf$pæs{t}$sɛbm / hæ{ə}{f}$pæst$sɛbm		hɚθ / hɑ˃ɚθ / hɒ̯ɚθ	hɒ˄g$pɛ˃{ə}n / hɒ·g$pɛ{ə}n / hɑg$pɛ{ə}n	hʌndɹəd / hʌndɚd / hʌndɹəd	ɑ˂ɪ˗ɚɫən{d} / ɑ˂{ɛ}ɚɫən{d} / ɑ˂{ɪ˗˅}ɚlən{d}	dʒænju˗wɛ˃ɚɪ˗{ɪ˗˄} / dʒænju˗wɚ·ɪ˗˄ / dʒænju˗wɛ˃{ə}ɚɪ˗̆{ɪ˗˄}	kəntʌkɪ˗̆{ɪ˗˄} / kəntʌ˅·kɪ˗{ɪ˗˄} / kəntʌkɪ˗̆{ɪ˗˄}	kɪtʃən / kɪtʃən / kɪtʃən	laɪ˗twʊ{ə}d		lu˗̆˃ˌwizɪ˗˄ˈæ{ə}nə / ɫu˅˂ˌizɪ˗˄ˈæ{ə}nə / lu˗ˌizɪ˗˄ˈæ{ə}nə	lu˂|ɪ˗˄vɪ{ə}ɫ / lu˂·ɪ˗vɪ{ə}ɫ / lu˗˃·|ɪ˗˄vɪ{ə}ɫ	mæ̃·n{ɾ}ɫ	mɒ̯ɚʃ / mɑ˃ɚʃ / mɒ̯ɚʃ	mɛɚəɫən{d} / mɛɚə̆lən{d} / mɛɚələn{d}	mæsətʃu˗˃·səts / mæ·sətʃu˗˃·səts / mæsətʃu˗˃·səts	mɛdə / mɛdə / mɛdə	ma˃·ɪ˗˅ɫz / ma˃·ɪ˗˅ɫz	məzu˗˃{ə}rə / məzu˅˂{ə}rɪ˗{ɪ˗˄} / məzu˅˂ɚɪ˗{ɪ˗˄}		maɪ˗$waɪ˗f / mə$waɪ˗f / mɪ˗˄˂$waɪ˗f / ma˃ɪ˗$waɪ˗f	nʊ˄u˂$ɪŋglən{d} / nʊ˄u˂$ɪŋglən{d} / nʊ˄u˂$ɪŋglən{d}		nŭ˄ŭ˂$ɔ˄ɚɫənz / ˌnu˅˂·$ɚˈli˅inz / nʊ̆˄ŭ˂$ˈɔɚlɪ˗˄ənz	nʊ˄u˂$jo˅ɚk / nʊ˄u˂$jɔɚk / nʊ˄u˂$jɔɚk		naɪ˗t / naɪ˗t / naɪ˗t	na˃ɪ˗n / na˃·ɪ˗˅n / na˃·ɪ˗˅n	no˅ɚθ$kɛɚəla˃ɛnə / nɔɚθ$kɛɚəla˃ɪ˗˅nə / ˌnɔɚθ$ˌkɛɚəˈla˃ɪ˗nə	no˅ɚθˈi˅ist / nɔɚθˈi˅ist / nɔɚθi˅ist	no˅ɚθwɛst / nɔɚθwɛst / nɔɚθwɛst		wʌ{ə}n / wʌ·{ə}n / wʌ·{ə}n		pɑ˃·ɫɚ			po˅ɚtʃ / pɔɚtʃ / pɔ˄ɚtʃ	kwo˅{ɚ}ɾɚ$tu˅˂$ɪ˗lɛvə̆n / kwɒ˄·ɾɚ$tu˅˂$ɪ˗lɛvɱ / kwɔ˄{ɚ}ɾɚ$tu˂$ɪ˗lɛvɱ	kwɪ{ə}ɫt / kwɪ{ə}ɫt / kwɪ{ə}ɫt	ra˃·ɪ˗zɪ˗ŋ	ru˂·f / rʊf / rʊf	ro˗˅ʊz / ro˅˂ʊz / ro˗˅˃ʊz	rʌ˂ʃə˄˂ / rʌʃə / rʌ˂ʃə	sæɾɚdɪ˗ / sæɾɚdɪ˗̆{ɪ˗˄} / sæɾɚdɪ˗	sɛkənt / sɛkən{d} / sɛkən{d}	sɛ{ə}və̆n / sɛvə̆n / sɛ{ə}və̆n	sɛvndɪ˗{ɪ˗˄} / sɛvɱdɪ˗̆{ɪ˗˄} / sɛvɱdɪ˗˄	ʃɛɪ˗dz / ʃɛɪ˗dz	sɪks / sɪks / sɪks	sɪksθ / sɪksθ / sɪks{θ}		sa˄·ʊθ$kɛɚəla˃ɛnə / sa·ʊθ$kɛɚəla˃ɪ˗˅nə / sa˄ʊθ$ˌkɛɚəˈla˃ɪ˗nə				sɛɪ˗nt$ɫu˂·əs / sɛnt$lu˅˂·ɪ˗˄ / sənt$lu˅˂·əs	stɛɚz / stɛɚz	stɛdɪ˗̆{ɪ˗˄}$dɹɪzɫ / stɛ˃dɪ˗˄$dɹɪzɫ / stɛ˃dɪ˗˄$dɹɪzɫ		ˌsʌndɪ˗˄$ˈwi˅ik / ˌsʌndɪ˗$ˈwi˅{i}k	sʌ˂ndæ˅·ʊn / sʌ˂nda˄ʊn	sʌ˂nʌp	swɒ˄·{ə}mp / swɒ·mp / swɒ˄·mp	tɛ{ə}n / tɛn / tɛ{ə}n	tɛnəsi˅{i} / tɛnəsi˅i / tɛnəsi˅i	ˌθɚtˈti˅in / ˌθɚtˈti˅in / ˌθɚtˈti˅in	θɚɾɪ˗̆{ɪ˗˄} / θɚɾɪ˗̆{ɪ˗˄} / θɚɾɪ˗˄	ðɪʃ$jɪ˄ɚ / ðɪʃ$jɪɚ / ðɪʃ$jɪ˄ɚ	θæ·ʊzn{d} / θæ˅ʊzn{d} / θa˄·ʊ˅zn{d}	θɾ̣i˅i / θri˅i / θri˅i	θri˅i$jɪ˄ɚz$o˅˂ʊɫd / θri˅˃i$jɪ˄ɚz$o˅˂ʊɫ{d} / θɾ̣̆i˅i$jɪ˄ɚz$o˅˂ʊɫd	θʌndɚsto˅ɚm / θʌ˂ndɚstɔ˄ɚm / θʌndɚstɔ˄ɚm	θɚ·zdɪ˗ / θɚzdɪ˗̆{ɪ˗˄} / θɚzdɪ˗	təmɑ˃rŏ˅˂{ʊ} / təmɑrə / təmɑrə	tʊ˄u˂zdɪ˗ / tu˅˂·zdɪ˗̆{ɪ˗˄} / tu˅˂·zdɪ˗	twɛ˃{ə}ɫv / twɛ˃{ə}ɫv / twɛ{ə}ɫv	twɛn{ɾ}ɪ˗̆{ɪ˗˄} / twɛ˃nɾɪ˗̆{ɪ˗˄} / twɛ˃nɾɪ˗̆{ɪ˗˄}	twɛn{ɾ}ɪ˗̆{ɪ˗˄}$sɛvə̆n / twɛ˃nɾɪ˗̆{ɪ˗˄}$sɛ˃{ə}və̆n / ˌtwɛnɾɪ˗$ˈsɛ{ə}və̆n	twaɪ˗s$əz$gʊ̱˄{ə}d / twaɪ˗s$əz$gʊ{ə}d / twaɪ˗s$əz$gʊ{ə}d	tu˗˃· / tu˅˂· / tu˅˂·	ʌmˈbrɛɫə / ˌʌmˈbrɛɫə / ʌmˈbrɛɫə	vɚdʒɪnjə / vɚdʒɪnjə / vɚdʒɪnjə	ˈwɔ˄ɚdˌɹo˅˂ʊ˅b / ˈwɔɚdˌɹo˗˅˃ʊb / wɔ˄ɚdro˅˂ʊb	wɑ˃{ə}ʃɪ˗ŋtən / wɑʃɪ˗ŋtən / wɑʃɪ˗ŋtən	wɑtʃ / wɑtʃ / wɑtʃ	ˈwɛðɚˌbɔɚdɪ˗ŋ	wɛ{ə}nzdɪ˗ / wɛnzdɪ˗̆{ɪ˗˄} / wɛnzdɪ˗	wʌt$ta˃ɪ˗m$ɪz$ət / wʌt$ta˃·ɪ˗m$ɪz$ət / wʌt$ta˃·ɪ˗˅m$ɪz$ət		jɪ˄ɚ$əˈgo˅˂ʊ / jɪ˄ɚ$əˈgo˅˂ʊ / jɪ˄ɚ$əgo˅˂ʊ	ˈjɛstɚdɪ˗ / jɛstɚdɪ˗̆{ɪ˗˄} / jɛstɚdɪ˗˅
